title	call_to_action_label	call_to_action_explanation
JCVI issues advice on the AstraZeneca COVID-19 vaccine	Weak	The announcement does not directly urge the public or reader to perform an action with a strong sense of urgency. Rather, the statement offers recommendations and guidelines to facilitate the successful roll out and uptake of the vaccine. While there is an implied expectation that those eligible for the vaccine should get it, there's no clear, explicit instruction compelling the reader to do so. The call to action is therefore weak.
New campaign to support vaccine roll-out backed by social media companies and British institutions	Moderate	The announcement encourages the public to take action by updating their social media profiles with the newly launched frames and GIFs to show their support for the COVID-19 vaccine rollout. The government isn’t urgently commanding the readers to do so, but instead suggests that by utilizing these tools, they contribute to a larger campaign to showcase their support and gratitude towards NHS. Additionally, the instructions on how to change profile pictures on Facebook and Instagram indicate an expectation for readers to participate, thus making it a moderate call to action.
Sporting legends led by Sir Geoff Hurst urge over 70s to get Coronavirus vaccination	Strong	This announcement contains a strong call to action as it directly urges the public, especially those aged 70 and over, to get the COVID-19 vaccine. This call to action is reinforced through strong and compelling language such as "For goodness sake, just get it done... it’s in your interest, as well as that of your family, friends, workmates, and your country", "Don’t hesitate, just do it", "I encourage everyone to get it quick". Additionally, the public is also called to help those eligible get their vaccines, sign up to clinical trials, and stay informed. The use of nationally recognized figures who express their willingness to get vaccinated also strengthens the call to action.
No change to MHRA advice on the safety and effectiveness of COVID-19 vaccines for those who are pregnant or breastfeeding	Weak	The announcement does encourage the public to take action, but this is done in a very passive manner. The call to action is embedded within the advisory information, merely directing the public to review the updated information in the 'Summary of Coronavirus Yellow Card Reporting' or 'the Summary of Product Characteristics'. Therefore, it can be considered a weak call to action. There are no strong words or phrases used to press for immediate action.
UK and India ramp up joint efforts on climate action	None	The government announcement primarily focuses on the collaboration between the UK and India in the areas of healthcare, climate change, and technology. The announcement provides information about the actions and plans of the UK government to strengthen ties with India and emphasizes the benefits of this partnership. However, it does not ask the reader or the public to take any specific action related to these topics. The only directives provided are aimed at the media for press inquiries, which does not constitute a public or reader call to action.
Rugby stars show support for booster campaign	Strong	The announcement contains a strong call to action as it is frequently using direct and compelling language to urge the reader to take immediate action. Sentences such as "Stars of women’s rugby are today urging fans and the public to Get Boosted Now." and “Kick COVID-19 into touch and Get Boosted Now." strongly push for the audience to get the COVID-19 booster shot. This is reinforced by personal appeals throughout and an overall tone of urgency, further elevating the call to action from moderate to strong.
Young people aged 12 to 15 to be offered a COVID-19 vaccine	Weak	The announcement primarily focuses on providing information about the government's initiative to vaccinate children aged between 12 and 15, with details of how the vaccination program will be implemented, and noting that parental consent will be required. However, there is no clear, direct call to action urging individuals in this age group or their parents to ensure they receive the vaccine. It is merely suggested indirectly through the relay of the program's rollout and the actions to be taken by healthcare staff in obtaining consent. Most of the government's message is informational about these decisions and plans; the reader is not explicitly asked to respond or participate.
Government secures 5 million doses of Moderna vaccine	Moderate	The announcement encourages the public to continue following safety measures like maintaining social distance, wearing face masks, and washing hands regularly to keep themselves and their loved ones safe from the virus. It also repeatedly reminds the public to not be complacent and to remain vigilant even in the face of promising vaccine news. Although the language used is not overly urgent or compelling, it is consistent and direct in its request for continued action from the public. Therefore, the call to action could be described as moderate.
Surge testing to be deployed in parts of west London	Moderate	The government announcement presents a moderate call to action. This is visible in sections where the public is "strongly encouraged" to take a COVID-19 PCR test regardless of presenting symptoms, to book a free test online or by phone, to follow their local council's advice on testing, and to accept the offer of twice-weekly rapid testing along with the PCR testing. The announcement also emphasizes the importance of those eligible getting their second COVID-19 vaccine shot sooner. Despite these calls to action, the urgency is moderate and the language does not compel immediate action with a strong sense of urgency or direct instructions. It advises the public to comply with enhanced testing and vaccination strategies to facilitate control of the viral variant's spread.
Further support confirmed for Oxford to slow COVID-19 infections	Moderate	The announcement encourages individuals to participate in COVID-19 control measures but does not necessarily use robust or urgent language. The call to action includes taking a test if offered, practicing health protocols like hands, face, space, and fresh air, as well as getting vaccinated. Although the necessity of these actions is stated, the language doesn't convey extreme urgency or explicit demand, hence it's considered a moderate call to action.
Access Consortium regulators pledge support to tackle COVID-19	None	The announcement is merely informing the public about the measures and steps being taken by the Access Consortium to battle the COVID-19 crisis. There is no specific action that the public or reader is being asked or urged to take. The focus of the announcement is not on the reader's participation or response, but on the efforts of the government and its global partners.
Moderna vaccine becomes third COVID-19 vaccine approved by UK regulator	Moderate	The announcement calls on the public to continue to obey national lockdown restrictions and remember to "stay alert, protect the NHS and save lives", even if they have had a vaccine. Although the language used doesn't press for immediate action, it advocates the importance of ongoing adherence to public health guidelines in response to the COVID-19 pandemic. In this context, the call to action is quite clear, but not emphatic or urgent. This qualifies it as a moderate call to action.
COVID-19 vaccines highly effective in most people in clinical risk groups	Moderate	The announcement strongly encourages individuals who are clinically vulnerable to COVID-19, particularly those with immune system concerns, to ensure they get both doses of the vaccine. It also suggests that those living with immunosuppressed adults should seek vaccination. While the language isn't overly compelling or urgent, it does imply the importance of these actions for health protection, therefore making it a moderate call to action.
