title	call_to_action_label	call_to_action_explanation
NZ backs moves to improve global access to COVID vaccines	Moderate	This announcement indicates a moderate call to action, urging parents and caregivers to have their children aged between 5 and 11 vaccinated. This encouragement includes mentioning the potential benefits of the vaccine, such as protecting family members and mitigating virus transmission. However, the government remarkably emphasizes the vaccination choice is up to parents rather than mandating it, hence the call to action is not categorised as strong. Detailed instructions are also provided on how to book vaccination appointments, further reinforcing the call to action.
New Zealand_s largest vaccine shipment arrives ahead of schedule	None	The government announcement focuses on articulating policy measures and funding initiatives to support Māori health providers in dealing with the COVID-19 pandemic. While it details the actions being taken by the government, it does not explicitly encourage or request the public or reader to behave in a particular way or to take a specific action. Instead, its purpose is to inform about government efforts and actions.
Government secures monkeypox medicine	Strong	The announcement contains a strong call to action as it directly and urgently urges workers, especially in sectors where the My Vaccine Pass can be applied, to get vaccinated ahead of the new COVID-19 Protection Framework coming into effect. This call to action is emphasized with specific deadlines, such as the need to have the first vaccine dose by December 3, and to be fully vaccinated by January 17, 2022. It appeals to the workers' responsibility to keep themselves, their families, customers, and their businesses safe, presenting vaccination as a critical contribution to the collective safety of all New Zealanders.
Take steps to stay COVID_19 safe this summer	None	The government announcement provides information on New Zealand's donation of additional Pfizer vaccines to Tonga and Samoa, but it does not urge or prompt the public or reader to take any specific actions. The announcement's purpose is to inform the public about the government's ongoing commitments and reactions to recent events such as COVID-19 and the volcanic eruption, rather than calling for any public response or action.
NZ Cook Islands travel bubble significant step in COVID_19 recovery	Strong	The announcement uses compelling language to directly urge the public, particularly young people aged 16 and 17, to take immediate action. The call to action is relayed through phrases such as "receive a free booster dose", "do this by visiting any walk-in vaccination clinic", "getting the booster gives the best protection", "if you’ve already had COVID-19, getting a booster helps reduce the risk", and procedural instructions on how to check when one is due for a booster, finding a walk-in vaccination centre, and how/when to call the COVID Vaccination Healthline. The constant emphasis on individual action to get vaccinated, even providing specific details on how to do so, displays the urgency and importance the government is placing on the vaccine rollout, thereby classifying it as a strong call to action.
Significant support goes to Maori and whānau most at risk of COVID_19	None	The announcement is primarily focused on informing the public about the Government's current actions and future plans regarding the COVID-19 vaccine rollout. It does not directly urge the public or readers to take any specific action, such as getting vaccinated or following certain guidelines.
COVID_19 Protection Framework retired NZ moves forward with certainty	Strong	This announcement strongly urges fully vaccinated people to get their "My Vaccine Pass", stressing its importance as the "official proof of vaccination" which will provide access to various public places under the new COVID-19 framework. The language used is direct and compelling, e.g. "we're asking fully vaccinated New Zealanders to get ready for summer by requesting their pass", "we don’t want anyone to miss out, so we’re strongly encouraging those who’ve been putting off getting a vaccine to take that step now", "people can log onto My COVID Record to make a request for the free pass or call 0800 222 478." The detailed explanation of steps to get the pass, including an FAQ and instructions for different circumstances, further emphasizes the call to action. There's also an implicit action urged towards businesses and events companies to enforce the use of these passes.
Thousands of MIQ spaces allocated to secure economic recovery	None	This government announcement primarily focuses on informing the public about New Zealand's Foreign Minister's visit to Tonga and the steps taken by New Zealand to help Tonga in improving its health workforce and manage the COVID-19 pandemic. The announcement doesn't include any direct instruction or encouragement for the public or reader to participate or take any specific action.
Plan for vaccine rollout for general population announced	None	The announcement mainly provides a detailed overview of the economic recovery plans of the New Zealand government, outlining their strategies and priorities in response to the impacts of the COVID-19 pandemic. However, it does not urge the reader or public to take any specific action. Topics like the vaccine rollout and border opening are mentioned, but only in the context of explaining government actions, rather than urging public involvement or compliance.
New measures to help manage COVID_19 as country stays at Orange	Moderate	The announcement encourages the public to stay up-to-date with their COVID-19 vaccinations and to download their updated My Vaccine Pass, highlighting the importance of having an accessible record for their vaccination status. The announcement, however, refrains from using compelling language or creating a sense of immediacy, thus making the call to action moderate.
Two new vaccines secured_ enough for every New Zealander	None	This government announcement does not implore the reader or public to do anything specifically. It is focused on informing the public about the infrastructure upgrades and plans in place to boost the COVID-19 vaccination program to ensure readiness in light of any unforeseen circumstances. This is informational and does not ask the public or reader to take any specific action.
Auckland restrictions eased in steps	Strong	The announcement uses direct and compelling language to urge the Pacific communities to take immediate action. The statements "We need to ensure our 5–11-year-old Pacific children are vaccinated and that all of our eligible Pacific peoples get their booster when they become due" and "Through this fund we are asking our Pacific communities to prepare for Omicron by getting your booster and vaccinating our young children" are clear calls to action. The government emphasizes the importance and urgency of getting vaccinated, especially with the incoming threat of the Omicron variant. They appeal to the public's responsibility to protect their communities, thereby aiming to stimulate immediate responses.
Successful funding for COVID_19 research round announced	Weak	The announcement does not make any strong or explicit request for the public to take action, instead, it focuses on providing information on government policies and strategies. The mention of action from the public or reader is more indirect and revolves around the emphasis on the importance of vaccination. However, the call to action for the public to participate in the vaccination program is implied rather than specifically stated. The government is taking actions like preparing for phased reopening, testing, and contact tracing, but no clear directives for public action are present.
APEC finance ministers and business leaders discuss COVID_19 recovery	None	This government announcement emphasizes actions taken by the government in securing and rolling out COVID-19 treatment medicines. It does not contain specific instructions or requests directed at the public, nor does it urge the public to take any particular action. The main purpose of the text is to inform the public about the availability and use of different COVID-19 medicines, detailing how they are part of a comprehensive approach to managing and treating the virus.
Shot in the arm for global vaccine development	None	This announcement does not contain any requests asking the public to take any action. It is primarily informative, outlining the discussions and agreements made during the ASEAN-New Zealand Commemorative Summit, including initiatives and plans related to their joint response to the COVID-19 pandemic among other issues. However, there is no explicit call for the public or reader to take any specific steps or actions in response to this information.
Ministers sign off on use of first COVID_19 vaccine	Strong	The announcement explicitly implores the public to get vaccinated as part of its COVID-19 winter plan, particularly if they are part of Group Three for the COVID vaccination rollout. It puts particular emphasis on vulnerable groups, like those over 65, pregnant individuals, and those with severe underlying conditions. The Health Minister directly urges as many people as possible to get vaccinated to protect themselves and relieve the health system. The tone and messaging - highlighting the death rates and mentioning the increased flu shot availability - urge immediate action and underline the vital need for participation.
More minds focussed on reducing agricultural emissions	None	This government announcement is primarily focused on informing the public about the new steps the government is taking to extend vaccination requirements to the New Zealand Police and Defence Force. It highlights the justification and importance of these actions, as well as statistics about current vaccination rates among these groups. However, there is no direct language used to urge the public or reader to do anything specific in response to this news.
Auckland to move to Alert Level 1 at midday	Moderate	The announcement does encourage the public, particularly the border workforce, to take action by getting vaccinated. There is no strong or urgent language used and the instructions are not directly addressing the general public but a specific worker group, thus it is categorized as a moderate call to action. The statement “I’d also encourage border employers to look at opportunities to make it easy for their workers to get vaccine appointments and to urge employees to get their vaccination" and the subsequent timeline given for vaccination are the calls to action in this announcement. The final statement about unvaccinated workers not being able to continue in a high-risk environment sets an expectation for action, making it a moderate call to action.
Pacific community reach vaccination milestone	Moderate	The announcement contains a relatively strong suggestion for the public, particularly business travellers and their employers, to participate in the self-isolation pilot program. It provides clear details on how they should apply via an Expression of Interest (EOI) process from specified dates and even encourages businesses to check the criteria carefully. It also outlines the specific requirements expected of participants during self-isolation with a somewhat authoritative tone. Despite the directness of these instructions, the announcement falls short of a strong call to action since the language isn't extremely compelling or urgent and the action asked isn't immediate; it is about a program happening in the future.
New Ambassador to Spain	Moderate	Towards the end of the announcement, the COVID-19 Response Minister specifically addresses and encourages those who have been uncertain about getting vaccinated. They suggest that there is still time to ask questions and get the first dose of the vaccine, indicating moderate urgency. The call to action, however, is not couched in very direct or strong language, making it more of a moderate imperative.
PM to chair APEC Informal Leaders_ Retreat on COVID_19	None	This announcement primarily informs the public of the government's actions and plans, specifically the new mental wellbeing package and its benefits. The public or readers are not explicitly urged to do anything - the language is primarily informative, providing details on funds allocated, services provided, and the context of these measures.
Tech ready for businesses and events to open up for summer	Moderate	The announcement encourages the public or reader to take action with moderate urgency, shown in phrases such as "your response means we’ve been able to open other age bands for vaccinations",  indicating the importance of participating, and "by getting vaccinated, people are protecting themselves, their whānau and playing their part in protecting New Zealand." The call to action is present but not particularly strong or urgent, hence its classification as moderate.
Focus on South Island tourism and regional economies	Moderate	The announcement encourages the public to take action. The statement, "We must now build on the collective mahi being led by Māori providers...we can do this.” suggests that continued effort from the community is needed. Also, the last line, “So, let’s keep this massive effort going to keep our whānau and Aotearoa safe by getting vaccinated,” Peeni Henare said.' directly calls on the public to continue their effort in getting vaccinated. However, the tone is not urgent, and the language used is encouraging rather than compelling, which makes it a moderate call to action.
Third COVID_19 vaccine receives provisional approval	None	This government announcement is predominantly descriptive in its approach, outlining Minister Nanaia Mahuta's visit to Rwanda and discussions at the CHOGM 2022. It includes details about the various bilateral engagements and topics discussed in the meeting, but at no point does it directly or indirectly urge the public or the reader to take any specific action. Therefore, no call to action is included in this announcement.
Booster vaccine available from end of November	Strong	The announcement strongly urges the public to get their booster vaccine and wear appropriate masks, with the language directly and urgently targeted at them. It provides explicit instructions on how to book a vaccine appointment and defines the correct mask usage. There is repeated emphasis on the personal and public benefits of these actions, reinforcing the urgency of the call to action.
Ethnic Communities get vaccination funding boost	None	This government announcement primarily discusses the economic resilience and recovery in light of the pandemic, focusing on the financial implications, the vaccine rollout, and border reopening but does not directly urge or suggest the public or reader to do anything. The message revolves around informing the public of the situation and plans of the government, but never makes an appeal for the public to act or participate in a particular way.
Changes to isolation to reflect vaccination status	Moderate	The announcement includes a moderate call to action, encouraging disabled people or those living with impairments to use various services for help with getting their COVID-19 vaccinations. It articulates specific steps or contacts they could use such as the 8988 text system, the COVID Vaccination Healthline, or email for information, booking a vaccination appointment, or accessing transport support. However, the language is supportive and suggestive, rather than pressing or compelling, which aligns with a moderate call to action.
Government guarantees free vaccines for every New Zealander	None	The announcement primarily focuses on detailing the discussions and agreements made during the Australia-New Zealand Leaders’ Meeting, touching on topics such as COVID-19 response, vaccine cooperation, Pacific relations, trans-Tasman cooperation, climate change, and global trade among others. While it discusses multiple policy plans and future initiatives, none of these involve direct action from the public or reader, instead outlining the responsibilities of government and intergovernmental actions.
EU and UK FTAs top of list for first ministerial trip since COVID_19	None	This announcement is merely informative, detailing the government's work and plans regarding vaccine arrival and distribution. There's no explicit urging or prompting of the reader or general public to take any specific action. The statement is largely focused on communicating the government's actions rather than calling for action from the public.
