Sub Section	Trust in the Public Service brand
March 2012	0.4104
June 2012	0.4297
September 2012	0.3947
December 2012	0.4098
March 2013	0.3871
June 2013	0.4516
September 2013	0.4636
December 2013	0.4443
March 2014	0.4360
June 2014	0.4582
September 2014	0.4199
December 2014	0.4408
March 2015	0.4073
June 2015	0.4343
September 2015	0.4415
December 2015	0.4800
March 2016	0.4506
June 2016	0.4534
September 2016	0.4720
December 2016	0.4354
March 2017	0.4593
June 2017	0.4383
September 2017	0.4679
December 2017	0.5115
March 2018	0.4960
June 2018	0.4885
September 2018	0.5100
December 2018	0.4963
March 2019	0.4850
June 2019	0.4832
September 2019	0.4782
December 2019	0.5061
December 2020	0.6891
March 2021	0.6274
June 2021	0.6312
September 2021	0.6458
December 2021	0.6157
March 2022	0.6086
June 2022	0.6167
September 2022	0.6067
December 2022	0.5689
March 2023	0.6034
June 2023	0.5798
September 2023	0.6087
December 2023	0.5763
March 2024	0.5948
June 2024	0.5617
