Date	Vaccinations
11/01/2021	165844
12/01/2021	223726
13/01/2021	288688
14/01/2021	321951
15/01/2021	345525
16/01/2021	298751
17/01/2021	192346
18/01/2021	208641
19/01/2021	346922
20/01/2021	366919
21/01/2021	412615
22/01/2021	480069
23/01/2021	493013
24/01/2021	221067
25/01/2021	281725
26/01/2021	312770
27/01/2021	314707
28/01/2021	416188
29/01/2021	489934
30/01/2021	609010
31/01/2021	322194
01/02/2021	352935
02/02/2021	376922
03/02/2021	472011
04/02/2021	484596
05/02/2021	498227
06/02/2021	551470
07/02/2021	279850
08/02/2021	356291
09/02/2021	414973
10/02/2021	455704
11/02/2021	508763
12/02/2021	549378
13/02/2021	508208
14/02/2021	239877
15/02/2021	282491
16/02/2021	377277
17/02/2021	497257
18/02/2021	468321
19/02/2021	387200
20/02/2021	344942
21/02/2021	150896
22/02/2021	210804
23/02/2021	353009
24/02/2021	480575
25/02/2021	521039
26/02/2021	537266
27/02/2021	434825
28/02/2021	205584
01/03/2021	231450
02/03/2021	276310
03/03/2021	347406
04/03/2021	446450
05/03/2021	494235
06/03/2021	448396
07/03/2021	184384
08/03/2021	254061
09/03/2021	290223
10/03/2021	341049
11/03/2021	354372
12/03/2021	457254
13/03/2021	564263
14/03/2021	282381
15/03/2021	440051
16/03/2021	529119
17/03/2021	581855
18/03/2021	660276
19/03/2021	740655
20/03/2021	844285
21/03/2021	419618
22/03/2021	412197
23/03/2021	494805
24/03/2021	580307
25/03/2021	559324
26/03/2021	694959
27/03/2021	663162
28/03/2021	441142
29/03/2021	405039
30/03/2021	503599
31/03/2021	627008
01/04/2021	616234
02/04/2021	354051
03/04/2021	286799
04/04/2021	95763
05/04/2021	105334
06/04/2021	272020
07/04/2021	507926
08/04/2021	545511
09/04/2021	557014
10/04/2021	586339
11/04/2021	258888
12/04/2021	261096
13/04/2021	388808
14/04/2021	461618
15/04/2021	547465
16/04/2021	635221
17/04/2021	639080
18/04/2021	304418
19/04/2021	373423
20/04/2021	457649
21/04/2021	534693
22/04/2021	562056
23/04/2021	600801
24/04/2021	696403
25/04/2021	340496
26/04/2021	395383
27/04/2021	495593
28/04/2021	597025
29/04/2021	614135
30/04/2021	567374
01/05/2021	515479
02/05/2021	262815
03/05/2021	200099
04/05/2021	384656
05/05/2021	543323
06/05/2021	608471
07/05/2021	598823
08/05/2021	607864
09/05/2021	287797
10/05/2021	346888
11/05/2021	485260
12/05/2021	636647
13/05/2021	637325
14/05/2021	613470
15/05/2021	628577
16/05/2021	315063
17/05/2021	365782
18/05/2021	498101
19/05/2021	633876
20/05/2021	688563
21/05/2021	646340
22/05/2021	762361
23/05/2021	378496
24/05/2021	455334
25/05/2021	574134
26/05/2021	663577
27/05/2021	690613
28/05/2021	640393
29/05/2021	602374
30/05/2021	331209
31/05/2021	288649
01/06/2021	447072
02/06/2021	521782
03/06/2021	568907
04/06/2021	567955
05/06/2021	676991
06/06/2021	387286
07/06/2021	419009
08/06/2021	450284
09/06/2021	492817
10/06/2021	509645
11/06/2021	515723
12/06/2021	574511
13/06/2021	328349
14/06/2021	368555
15/06/2021	420699
16/06/2021	430399
17/06/2021	467238
18/06/2021	428817
19/06/2021	516604
20/06/2021	273158
21/06/2021	60405
22/06/2021	550712
23/06/2021	375635
24/06/2021	399347
25/06/2021	377267
26/06/2021	433946
27/06/2021	263267
28/06/2021	265276
29/06/2021	288679
30/06/2021	316965
01/07/2021	345591
02/07/2021	301083
03/07/2021	333598
04/07/2021	188632
05/07/2021	224776
06/07/2021	238937
07/07/2021	258430
08/07/2021	271897
09/07/2021	268902
10/07/2021	305209
11/07/2021	149620
12/07/2021	179656
13/07/2021	217349
14/07/2021	246035
15/07/2021	263574
16/07/2021	271805
17/07/2021	292431
18/07/2021	147064
19/07/2021	179230
20/07/2021	200314
21/07/2021	228439
22/07/2021	232333
23/07/2021	232315
24/07/2021	247691
25/07/2021	142507
26/07/2021	178955
27/07/2021	187052
28/07/2021	215020
29/07/2021	222271
30/07/2021	207820
31/07/2021	250840
01/08/2021	139276
02/08/2021	152284
03/08/2021	172051
04/08/2021	199003
05/08/2021	208192
06/08/2021	205332
07/08/2021	251573
08/08/2021	144913
09/08/2021	169278
10/08/2021	188654
11/08/2021	215329
12/08/2021	236943
13/08/2021	212075
14/08/2021	246187
15/08/2021	157640
16/08/2021	174106
17/08/2021	189699
18/08/2021	216507
19/08/2021	231038
20/08/2021	228277
21/08/2021	267887
22/08/2021	156697
23/08/2021	177684
24/08/2021	186086
25/08/2021	229781
26/08/2021	200076
27/08/2021	176393
28/08/2021	176959
29/08/2021	103830
30/08/2021	86291
31/08/2021	159301
01/09/2021	157473
02/09/2021	159377
03/09/2021	145856
04/09/2021	169607
05/09/2021	94988
06/09/2021	102713
07/09/2021	112472
08/09/2021	113091
09/09/2021	122476
10/09/2021	117875
11/09/2021	125972
12/09/2021	67570
13/09/2021	80081
14/09/2021	84370
15/09/2021	87692
16/09/2021	87024
17/09/2021	81162
18/09/2021	98695
19/09/2021	48997
20/09/2021	66492
21/09/2021	63790
22/09/2021	66726
23/09/2021	69671
24/09/2021	72376
25/09/2021	71414
26/09/2021	41523
27/09/2021	58096
28/09/2021	65385
29/09/2021	65632
30/09/2021	937033
01/10/2021	226381
02/10/2021	259918
03/10/2021	135173
04/10/2021	190885
05/10/2021	226019
06/10/2021	223501
07/10/2021	239314
08/10/2021	234681
09/10/2021	315681
10/10/2021	135033
11/10/2021	177340
12/10/2021	227111
13/10/2021	530030
14/10/2021	310497
15/10/2021	291083
16/10/2021	368682
17/10/2021	153134
18/10/2021	241456
19/10/2021	307744
20/10/2021	332539
21/10/2021	687752
22/10/2021	371105
23/10/2021	440764
24/10/2021	214334
25/10/2021	304247
26/10/2021	328582
27/10/2021	355173
28/10/2021	366081
29/10/2021	348474
30/10/2021	433867
31/10/2021	204800
01/11/2021	297852
02/11/2021	364255
03/11/2021	419041
04/11/2021	398611
05/11/2021	388827
06/11/2021	484130
07/11/2021	250335
08/11/2021	331498
09/11/2021	401329
10/11/2021	699192
11/11/2021	429857
12/11/2021	414160
13/11/2021	519837
14/11/2021	257335
15/11/2021	336683
16/11/2021	398862
17/11/2021	439633
18/11/2021	436587
19/11/2021	412575
20/11/2021	513270
21/11/2021	268311
22/11/2021	349941
23/11/2021	413976
24/11/2021	426964
25/11/2021	442483
26/11/2021	410741
27/11/2021	521785
28/11/2021	336273
29/11/2021	367154
30/11/2021	455285
01/12/2021	466235
02/12/2021	477734
03/12/2021	442053
04/12/2021	529328
05/12/2021	339286
06/12/2021	374156
07/12/2021	442937
08/12/2021	465782
09/12/2021	527342
10/12/2021	482986
11/12/2021	615528
12/12/2021	451044
13/12/2021	562800
14/12/2021	728681
15/12/2021	812044
16/12/2021	936480
17/12/2021	927697
18/12/2021	1024833
19/12/2021	919521
20/12/2021	988710
21/12/2021	1062705
22/12/2021	932501
23/12/2021	682212
24/12/2021	194107
25/12/2021	12352
26/12/2021	27002
27/12/2021	315382
28/12/2021	378480
29/12/2021	511666
30/12/2021	475032
31/12/2021	204514
01/01/2022	23907
02/01/2022	140425
03/01/2022	190278
04/01/2022	288577
05/01/2022	318172
06/01/2022	289285
07/01/2022	280569
08/01/2022	318409
09/01/2022	195060
10/01/2022	194177
11/01/2022	187650
12/01/2022	176492
13/01/2022	164567
14/01/2022	163764
15/01/2022	194251
16/01/2022	115912
17/01/2022	115517
18/01/2022	122554
19/01/2022	113612
20/01/2022	116683
21/01/2022	123034
22/01/2022	141366
23/01/2022	85700
24/01/2022	101715
25/01/2022	96266
26/01/2022	100741
27/01/2022	98610
28/01/2022	108307
29/01/2022	113276
30/01/2022	72984
31/01/2022	78666
01/02/2022	77086
02/02/2022	78777
03/02/2022	78355
04/02/2022	82228
05/02/2022	80687
06/02/2022	44731
07/02/2022	65594
08/02/2022	67245
09/02/2022	67724
10/02/2022	72107
11/02/2022	79650
12/02/2022	81592
13/02/2022	40117
14/02/2022	58329
15/02/2022	86375
16/02/2022	67808
17/02/2022	65210
18/02/2022	46264
19/02/2022	64425
20/02/2022	34636
21/02/2022	52573
22/02/2022	56800
23/02/2022	56718
24/02/2022	49977
25/02/2022	53694
26/02/2022	57591
27/02/2022	31157
28/02/2022	43518
01/03/2022	43493
02/03/2022	45484
03/03/2022	54159
04/03/2022	48500
05/03/2022	52648
06/03/2022	28355
07/03/2022	37439
08/03/2022	39314
09/03/2022	272239
10/03/2022	41805
11/03/2022	41261
12/03/2022	52489
13/03/2022	27058
14/03/2022	47727
15/03/2022	40889
16/03/2022	38688
17/03/2022	40453
18/03/2022	40812
19/03/2022	51479
20/03/2022	28194
21/03/2022	238956
22/03/2022	73020
25/03/2022	105446
26/03/2022	110379
27/03/2022	50449
28/03/2022	99953
29/03/2022	110070
30/03/2022	123606
31/03/2022	129593
01/04/2022	126891
02/04/2022	148125
03/04/2022	68056
04/04/2022	112702
05/04/2022	124858
06/04/2022	148170
07/04/2022	142865
08/04/2022	148241
09/04/2022	197907
10/04/2022	85213
11/04/2022	133066
12/04/2022	154907
13/04/2022	165241
14/04/2022	160877
15/04/2022	54434
16/04/2022	95374
17/04/2022	27366
18/04/2022	28011
19/04/2022	126481
20/04/2022	144294
21/04/2022	270184
22/04/2022	144751
23/04/2022	226135
24/04/2022	84477
25/04/2022	117557
26/04/2022	138231
27/04/2022	147975
28/04/2022	142683
29/04/2022	134323
30/04/2022	151849
01/05/2022	51319
02/05/2022	23955
03/05/2022	97935
04/05/2022	122685
05/05/2022	110803
06/05/2022	109269
07/05/2022	139041
08/05/2022	50768
09/05/2022	87894
10/05/2022	102996
11/05/2022	103977
12/05/2022	100628
13/05/2022	86459
14/05/2022	100567
15/05/2022	43762
16/05/2022	67304
17/05/2022	77776
18/05/2022	79109
19/05/2022	84156
20/05/2022	73183
21/05/2022	91174
22/05/2022	31803
23/05/2022	56579
24/05/2022	65452
25/05/2022	56960
26/05/2022	85788
27/05/2022	60684
28/05/2022	66077
29/05/2022	29336
30/05/2022	53971
31/05/2022	60430
01/06/2022	53154
02/06/2022	16250
03/06/2022	5715
04/06/2022	27632
05/06/2022	34738
06/06/2022	35461
07/06/2022	42528
08/06/2022	48645
09/06/2022	43359
10/06/2022	41871
11/06/2022	56141
12/06/2022	26056
13/06/2022	30254
14/06/2022	32413
15/06/2022	36412
16/06/2022	38659
17/06/2022	34189
18/06/2022	48244
19/06/2022	21820
20/06/2022	100171
21/06/2022	35580
22/06/2022	38209
23/06/2022	36418
24/06/2022	36647
25/06/2022	57871
26/06/2022	25879
27/06/2022	33962
28/06/2022	37761
29/06/2022	39142
30/06/2022	95358
01/07/2022	34027
02/07/2022	50315
03/07/2022	24086
04/07/2022	32322
05/07/2022	33519
06/07/2022	34314
07/07/2022	35633
08/07/2022	35038
09/07/2022	51018
10/07/2022	21128
11/07/2022	25693
12/07/2022	28007
13/07/2022	30490
14/07/2022	31000
15/07/2022	30620
16/07/2022	50143
17/07/2022	20173
18/07/2022	19869
19/07/2022	18630
20/07/2022	26720
21/07/2022	26181
22/07/2022	30040
23/07/2022	42010
24/07/2022	19606
25/07/2022	27233
26/07/2022	25890
27/07/2022	26204
28/07/2022	30799
29/07/2022	24481
30/07/2022	33025
31/07/2022	15313
01/08/2022	19489
02/08/2022	18892
03/08/2022	20780
04/08/2022	34507
05/08/2022	19511
06/08/2022	26047
07/08/2022	12508
08/08/2022	16780
09/08/2022	15535
10/08/2022	16020
11/08/2022	16591
12/08/2022	15051
13/08/2022	21704
14/08/2022	9740
15/08/2022	24495
16/08/2022	14785
17/08/2022	15219
18/08/2022	14746
19/08/2022	14095
20/08/2022	21535
21/08/2022	8301
22/08/2022	13870
23/08/2022	14743
24/08/2022	16806
25/08/2022	17993
26/08/2022	14020
27/08/2022	18047
28/08/2022	6862
29/08/2022	3103
30/08/2022	15013
31/08/2022	15755
01/09/2022	11010
02/09/2022	9783
03/09/2022	15677
04/09/2022	5992
