Text,Metric
"Counties Manukau DHB has reached 90 percent first doses today, meaning all three Auckland DHBs have now crossed the 90 percent threshold for first doses, a key milestone on the path to Auckland opening up, Minister for COVID-19 Response Chris Hipkins says.Auckland DHB is at 95 percent first doses and 87 percent second doses.",Long Sentence
"Counties Manukau is now at 90 first doses and 80 percent second doses.Auckland will move across into the new traffic light system with fewer restrictions once all three DHBs have reached 90 percent fully vaccinated.“Auckland is leading the way with vaccinations, and it is exciting to see Counties Manukau reach that all important 90 percent first dose figure,” Chris Hipkins said.“Today we are an important step closer to Auckland transitioning to the new traffic light system which means restrictions will ease once each DHB is 90 percent second dose.“There’s been a huge amount of targeted work going on by local health providers to make vaccines easily accessible and to address hesitancy.",Long Sentence
It’s really pleasing to see that work paying off.“In particular the work of Māori and Pacific providers in Counties Manukau is succeeding.,Long Sentence
This has included literally going door to door to ensure people are vaccinated.“Getting every DHB in Auckland up to 90 percent fully vaccinated is within our reach.,Long Sentence
On current daily rates we could be there within three weeks so long as people return for their second dose.“Everyone wants restrictions eased as soon as possible.,Long Sentence
"We need to keep going and get those final second doses so we can ease restrictions with high rates of vaccination and high levels of confidence,” Chris Hipkins said.In the last 7 days, on average Auckland residents were administered 1,743 first doses, and 6,175 second doses.Of Auckland’s Māori population, 79% have received their first dose and 63% have received their second.Of Auckland’s Pacific population, 85% have received their first dose and 72% have received their second dose.",Long Sentence
reached,Passive Voice
crossed,Passive Voice
reached,Passive Voice
been,Passive Voice
required,Passive Voice
included,Passive Voice
vaccinated,Passive Voice
administered,Passive Voice
received,Passive Voice
received,Passive Voice
received,Passive Voice
received,Passive Voice
opening,Complex Word
Minister,Complex Word
Waitemata,Complex Word
doses.Auckland,Complex Word
restrictions,Complex Word
vaccinated.,Complex Word
vaccinations,Complex Word
exciting,Complex Word
important,Complex Word
important,Complex Word
transitioning,Complex Word
restrictions,Complex Word
targeted,Complex Word
providers,Complex Word
easily,Complex Word
accessible,Complex Word
hesitancy,Complex Word
particular,Complex Word
Pacific,Complex Word
providers,Complex Word
succeeding,Complex Word
required,Complex Word
included,Complex Word
literally,Complex Word
vaccinated.,Complex Word
every,Complex Word
vaccinated,Complex Word
Everyone,Complex Word
restrictions,Complex Word
possible,Complex Word
restrictions,Complex Word
vaccination,Complex Word
confidence,Complex Word
average,Complex Word
residents,Complex Word
administered,Complex Word
population,Complex Word
second.Of,Complex Word
Pacific,Complex Word
population,Complex Word
