Text,Metric
"Trade and Export Growth Minister Damien O’Connor today announced details of his planned visit to the United Kingdom and European Union next week, where he will hold trade and agriculture discussions to further New Zealand’s economic recovery from COVID-19.The visit will add political weight to ongoing negotiations with both the EU and the UK on free trade agreements with New Zealand.In addition to visiting London and Brussels, Damien O’Connor will go to Singapore, en route to Europe, and Paris.The trip marks the first international travel by a New Zealand Minister since February 2020, when the COVID-19 pandemic hit.Damien O’Connor will be accompanied by MFAT Deputy Secretary and Chief Negotiator for the EU-NZ FTA Vangelis Vitalis.New Zealand’s Dublin-based Chief Negotiator for the UK-NZ FTA, Brad Burgess will also join the Minister for the London leg.",Long Sentence
"Mr. Burgess is currently serving as New Zealand’s Ambassador to Ireland.“Virtual engagements have served us very well over the last year, but I’m very much looking forward to face to face engagement,” Damien O’Connor said.“Being able to meet with my counterparts – albeit socially distanced – will help us move towards concluding high quality, comprehensive and inclusive FTAs.”United Kingdom legIn London, Damien O’Connor is scheduled to meet with his trade counterpart, Secretary of State for International Trade Liz Truss.",Long Sentence
"This follows their agreement last month to accelerate FTA negotiations between the two nations.He is also expected to meet with Minister of State in the Cabinet Office Lord Frost to discuss New Zealand’s trade access interests post-Brexit.As Minister of Agriculture, Damien O’Connor will be meeting with George Eustice, Secretary of State for Environment, Food and Rural Affairs.",Long Sentence
"The Minister is also expected to have engagements with industry representatives and New Zealand stakeholders in the UK, relevant to both his agriculture and trade portfolios.“New Zealand enjoys a uniquely close bond with the UK through our shared history.“The relationship is underpinned by wide family, cultural, business and sporting linkages.",Long Sentence
"I can’t think of a stronger foundation on which to build a great free trade agreement.“I see a quality FTA with the UK, negotiated in line with Government’s ‘Trade for All’ agenda, as galvanising these ties through trade and investment.”Brussels legThe priority in Brussels is adding further momentum to the EU-New Zealand FTA negotiations.“I’m really looking forward to sitting down with key figures in the European Commission at this important stage in our FTA talks, notably my Trade Commissioner counterpart, Valdis Dombrovskis, and Agriculture Commissioner Janusz Wojciechowski.”While in Brussels, the Minister is also expected to meet with key Parliamentary and industry representatives, as well as the Belgian Deputy Prime Minister and Minister of Foreign Affairs, Sophie Wilmès.“The EU and New Zealand are strong partners and good friends.",Long Sentence
"It is a real anomaly that we don’t already have a free trade agreement with a partner with whom we share so many values and interests.”Paris legIn Paris, Damien O’Connor is scheduled to meet with his counterpart Frank Riester, Minister for Foreign Trade and Economic Attractiveness.“The New Zealand – France relationship has gone from strength to strength under this Government, not least with our successful joint leadership in recent times of the Christchurch Call.“In Paris, I will be reinforcing the case for the EU-NZ FTA with one of our most important partners in Europe.",Long Sentence
"There is no better partner for France than New Zealand with respect to trade and sustainable development and an FTA will be in both our strategic as well as long term, diversified economic interests.”Singapore en routeOn the way to Europe, Damien O’Connor will stop in Singapore for meetings with Gan Kim Yong, Minister for Trade and Industry, as well as Grace Fu, Minister for Sustainability and the Environment, in support of New Zealand’s export-led recovery from COVID-19.“The short visit to Singapore provides the opportunity to engage with one of our most trusted, reliable, and long-standing partners in the region.",Long Sentence
"We share many areas of interest, including APEC 2021, which New Zealand is currently hosting.”In all locations, the Minister will comply with host government COVID-19 restrictions and testing requirements.",Long Sentence
He will also undertake 14 days of MIQ upon return to New Zealand in late June.The Minister and his small travelling delegation have been vaccinated for COVID-19 prior to the trip.“COVID-19 is teaching us all a lesson in the value of relationships and international cooperation.,Long Sentence
accompanied,Passive Voice
served,Passive Voice
distanced,Passive Voice
scheduled,Passive Voice
expected,Passive Voice
expected,Passive Voice
shared,Passive Voice
underpinned,Passive Voice
negotiated,Passive Voice
expected,Passive Voice
scheduled,Passive Voice
gone,Passive Voice
trusted,Passive Voice
been,Passive Voice
vaccinated,Passive Voice
Minister,Complex Word
Damien,Complex Word
United,Complex Word
European,Complex Word
agriculture,Complex Word
discussions,Complex Word
economic,Complex Word
recovery,Complex Word
political,Complex Word
ongoing,Complex Word
negotiations,Complex Word
agreements,Complex Word
addition,Complex Word
visiting,Complex Word
Damien,Complex Word
Singapore,Complex Word
international,Complex Word
Minister,Complex Word
February,Complex Word
pandemic,Complex Word
accompanied,Complex Word
Deputy,Complex Word
Secretary,Complex Word
Negotiator,Complex Word
Vangelis,Complex Word
Vitalis.New,Complex Word
Negotiator,Complex Word
Minister,Complex Word
currently,Complex Word
Ambassador,Complex Word
Virtual,Complex Word
engagements,Complex Word
engagement,Complex Word
Damien,Complex Word
counterparts,Complex Word
albeit,Complex Word
socially,Complex Word
concluding,Complex Word
quality,Complex Word
comprehensive,Complex Word
inclusive,Complex Word
United,Complex Word
Damien,Complex Word
counterpart,Complex Word
Secretary,Complex Word
International,Complex Word
agreement,Complex Word
accelerate,Complex Word
negotiations,Complex Word
nations.He,Complex Word
expected,Complex Word
Minister,Complex Word
Cabinet,Complex Word
interests,Complex Word
post-Brexit.As,Complex Word
Minister,Complex Word
Agriculture,Complex Word
Damien,Complex Word
Secretary,Complex Word
Environment,Complex Word
Minister,Complex Word
expected,Complex Word
engagements,Complex Word
industry,Complex Word
representatives,Complex Word
stakeholders,Complex Word
relevant,Complex Word
agriculture,Complex Word
portfolios.,Complex Word
uniquely,Complex Word
history.,Complex Word
relationship,Complex Word
underpinned,Complex Word
