Text,Metric
"Extra support is being made available to Ethnic Communities to help them share COVID-19 vaccination information within their communities, Minister for Diversity, Inclusion and Ethnic Communities Priyanca Radhakrishnan said.“We know we need to get every eligible person in New Zealand vaccinated.",Long Sentence
"A fund being launched today will allow for more targeted support to ensure that even those in harder-to-reach communities can access accurate information about vaccinations,” Priyanca Radhakrishnan said.“The funding will enable community organisations to share materials widely and to proactively reach out to members of their communities who rely on these groups and leaders for information.”The fund will complement the wider government COVID-19 vaccination communications and engagement campaign, which engages with ethnic communities and provides information in multiple languages and through ethnic media platforms.“New Zealand is a diverse country with over 213 ethnic communities represented who collectively speak over 160 languages, have varied needs, and may access information differently.“Community organisations know how to reach members of their community and play a vital role in encouraging their members to get vaccinated.",Long Sentence
"This fund will give them the resources to reach more people.“We continue to work in partnership with ethnic community organisations to collectively do everything in our power to eliminate the COVID-19 virus,” Priyanca Radhakrishnan said.The fund is provided by the Ministry of Health and has been set up in partnership with the Ministry for Ethnic Communities.",Long Sentence
It will make $1 million available.Ethnic community organisations will be able to apply for funding to support initiatives that increase communication and engagement.Applications for funding can be made on the Ministry of Health website –https://www.health.govt.nz/EthnicCommunitiesFundVaccine,Long Sentence
made,Passive Voice
launched,Passive Voice
represented,Passive Voice
varied,Passive Voice
vaccinated,Passive Voice
provided,Passive Voice
been,Passive Voice
set,Passive Voice
made,Passive Voice
available,Complex Word
Communities,Complex Word
vaccination,Complex Word
information,Complex Word
communities,Complex Word
Minister,Complex Word
Diversity,Complex Word
Inclusion,Complex Word
Communities,Complex Word
Radhakrishnan,Complex Word
every,Complex Word
eligible,Complex Word
vaccinated,Complex Word
targeted,Complex Word
harder-to-reach,Complex Word
communities,Complex Word
accurate,Complex Word
information,Complex Word
vaccinations,Complex Word
Radhakrishnan,Complex Word
enable,Complex Word
community,Complex Word
organisations,Complex Word
materials,Complex Word
proactively,Complex Word
communities,Complex Word
information.,Complex Word
complement,Complex Word
government,Complex Word
vaccination,Complex Word
communications,Complex Word
engagement,Complex Word
engages,Complex Word
communities,Complex Word
information,Complex Word
multiple,Complex Word
languages,Complex Word
media,Complex Word
communities,Complex Word
represented,Complex Word
collectively,Complex Word
languages,Complex Word
information,Complex Word
differently.,Complex Word
Community,Complex Word
organisations,Complex Word
community,Complex Word
encouraging,Complex Word
vaccinated,Complex Word
resources,Complex Word
continue,Complex Word
partnership,Complex Word
community,Complex Word
organisations,Complex Word
collectively,Complex Word
everything,Complex Word
eliminate,Complex Word
Radhakrishnan,Complex Word
provided,Complex Word
Ministry,Complex Word
partnership,Complex Word
Ministry,Complex Word
Communities,Complex Word
available.Ethnic,Complex Word
community,Complex Word
organisations,Complex Word
initiatives,Complex Word
communication,Complex Word
engagement.Applications,Complex Word
Ministry,Complex Word
//www.health.govt.nz/EthnicCommunitiesFundVaccine,Complex Word
