Text,Metric
"Halving of time overseas arrivals spend in MIQ facility to seven days followed by home isolation until they return a negative day 9 test, from 14 NovemberExpanded quarantine free travel for eligible one-way travellers from some Pacific nations, from 8 NovemberPhased easing of border restrictions will see home isolation increasingly used for vaccinated overseas arrivals in Q1 2022The Government is starting a phased easing of border restrictions that will see the time spent in an MIQ facility halved for overseas arrivals from 14 November and home isolation introduced in the first quarter of 2022 at the latest, Chris Hipkins said today.It is also expanding one-way quarantine free travel with some Pacific nations in the first step in the Government’s phased plan to carefully reconnect New Zealand with the world.“MIQ has served us well.",Long Sentence
"Over 183,000 New Zealanders have returned home through MIQ since border restrictions were put in place last year, stopping cases at the border and allowing us to live life free of restrictions for the better part of 18 months,” Chris Hipkins said.“When MIQ was introduced we didn’t have the vaccine so every arrival posed a high level of risk.",Long Sentence
With most people returning now fully vaccinated the risk profile of international arrivals has changed so it is time to start changing our MIQ settings.“Last week the Government announced a pathway forward out of lockdowns with the new traffic light COVID-19 ProtectionFramework that will see an easing of restrictions once the country is 90 percent vaccinated.,Long Sentence
Today’s easing of MIQ requirements is part of our broader plan to re-openNew Zealand safely and reconnect with the world.“The first change we are making is halving the length of time international arrivals will need to stay in MIQ to seven days.,Long Sentence
Advice is this is the lowest risk change as the vast majority of border cases we pick up within the first seven days.“The vast majority of COVID-19 cases are picked up within the first three days of MIQ.,Long Sentence
"Positive cases from border arrivals are increasingly rare, at 2 or 3 per 1000, and there’s a 1 in 2000 rate of positive test results in MIQ after day seven.",Long Sentence
"In addition, full vaccination will be required for all non-New Zealand travellers from 1 November.“Arrivals will be tested on day 0/1, day 3, and day 6/7 testing, followed by a short period of self-isolation at home – around three days.“A rapid antigen test and health checks will be carried out on day seven before a person leaves MIQ, and people will get a PCR test on day 9 of their home isolation and stay at home until the result comes back.“This evolution of MIQ will initially free up more than 1500 rooms a month.",Long Sentence
These spaces will enable two things; they’ll allow rooms to continue to support the Auckland outbreak and some additional rooms will be available and will add to the vouchers being released next week.“Shortened stays in MIQ were part of our international reconnecting plan announced shortly prior to the Auckland Delta outbreak.,Long Sentence
The move to ensure returnees are vaccinated and additional data on Delta have enabled these changes to be bought forward.“The second stage of our plan will see New Zealand moving towards having more vaccinated people able to self-isolate at home instead of in MIQ.“This option will be made available to increasing numbers of fully vaccinated travellers in the first quarter of 2022.,Long Sentence
"However our priority at this stage is to safely transition to the new traffic light system first and bed that in before adding the additional risk of international arrivals immediately entering the community.“When the COVID-19 Protection Framework is bedded in, 90 per cent of eligible New Zealanders will be fully vaccinated so we will have a higher level of confidence than we do right now of allowing international arrivals to go straight into the community.“A phased approach also gives us time to evaluate the technology that’ll be used to monitor home isolation compliance in the business home isolation pilot, which starts at the end of this month.“Fees, exemption and exception frameworks and isolate at home guidelines will be updated during the next three weeks.",Long Sentence
"From 14 November, the self-isolation period for business travellers in the pilot will also be shortened to 10 days.Expansion of one-way quarantine-free travel with parts of the Pacific“We’re also expanding one-way quarantine free travel from Samoa, Tonga and Vanuatu to include travellers from those countries and Tokelau who have the right to reside permanently in New Zealand and people covered by border exceptions, from 8 November.“Travellers must be fully vaccinated, unless they are New Zealand citizens.",Long Sentence
