Text,Metric
"The Government has announced further pandemic support for Pacific Island countries with vaccine boosters, COVID-19 anti-viral treatments, and by strengthening the capacity of the health workforce to respond to further pandemics.“The impact of COVID-19 is still being felt around the world, including the Pacific.",Long Sentence
"As we continue our re-connections this year we have a clear focus on supporting the social and economic resilience of our Pacific partners and their health priorities,” Nanaia Mahuta said.“Aotearoa New Zealand stands alongside the Pacific to further support preparedness and response efforts.",Long Sentence
"It reflects the importance we place on being there for our Pacific fanauthroughout this pandemic,” Aupito William Sio said.Nanaia Mahuta made the announcement in the Cook Islands, during a visit to Rarotonga Hospital where she met frontline health workers involved in the COVID-19 response.The package of support includes:Additional funding of $3.8 million for thePolynesian Health Corridors programmefor pandemic preparedness and response over the next year, to continue COVID-19 immunisation support, provide public health advice and help strengthen the health workforce.A $1.1 million contribution to the World Health Organisation to increase access to COVID-19 therapeutics in the wider Pacific, with accompanying technical support;Access to COVID-19 oral antivirals from Aotearoa New Zealand’s domestic supply for the Cook Islands, Niue and Tokelau.",Long Sentence
"There will be accompanying guidance and support, facilitated by the Polynesian Health Corridors team, through clinical specialists and organisations in Aotearoa New Zealand;Provision of second COVID-19 Pfizer vaccine boosters to the Cook Islands, Niue and Tokelau as requested.“The Polynesian Health Corridors programme sees workers from Aotearoa New Zealand step up with public health advice, vaccine rollout support, and health workforce capability building in the Cook Islands, Niue, Tokelau, Samoa, Tonga and Tuvalu,” Aupito William Sio said.“The PHC programme facilitated New Zealand’s donation of almost 44,000 COVID-19 vaccine doses to the Cook Islands.",Long Sentence
There was also support from clinicians who travelled to the islands to backfill the roles of local health workers during the vaccination rollout.“Our support will ensure Pacific countries have more tools to respond to COVID-19 to keep their populations safe.“Oral antiviral treatments and second boosters are an important addition to pandemic response efforts globally.,Long Sentence
"They reduce the risk of severe illness and hospitalisation following COVID-19 infection, especially for people with pre-existing health conditions,” Aupito William Siosaid.“Providing treatments and vaccines through our domestic supply, and increasing access to antiviral treatments in collaboration with the World Health Organization, will enhance countries’ ability to respond to the pandemic and save lives,” Nanaia Mahuta said.“Health systems across the world have felt the burden of COVID-19.",Long Sentence
It is our responsibility as a Pacific nation to work together with our Pacific partners to strengthen our collective capabilities to prepare for and respond to pandemics.,Long Sentence
"In the long run, this helps us all in our efforts to achieve a safer, prosperous and resilient Pacific,” Nanaia Mahuta said.",Long Sentence
announced,Passive Voice
felt,Passive Voice
involved,Passive Voice
facilitated,Passive Voice
felt,Passive Voice
Government,Complex Word
pandemic,Complex Word
Pacific,Complex Word
anti-viral,Complex Word
strengthening,Complex Word
capacity,Complex Word
including,Complex Word
Pacific,Complex Word
continue,Complex Word
re-connections,Complex Word
supporting,Complex Word
economic,Complex Word
resilience,Complex Word
Pacific,Complex Word
priorities,Complex Word
alongside,Complex Word
Pacific,Complex Word
preparedness,Complex Word
importance,Complex Word
Pacific,Complex Word
fanauthroughout,Complex Word
pandemic,Complex Word
said.Nanaia,Complex Word
announcement,Complex Word
Rarotonga,Complex Word
Hospital,Complex Word
response.The,Complex Word
Additional,Complex Word
thePolynesian,Complex Word
Corridors,Complex Word
programmefor,Complex Word
pandemic,Complex Word
preparedness,Complex Word
continue,Complex Word
immunisation,Complex Word
contribution,Complex Word
Organisation,Complex Word
therapeutics,Complex Word
Pacific,Complex Word
accompanying,Complex Word
technical,Complex Word
antivirals,Complex Word
domestic,Complex Word
accompanying,Complex Word
facilitated,Complex Word
Polynesian,Complex Word
Corridors,Complex Word
clinical,Complex Word
specialists,Complex Word
organisations,Complex Word
Provision,Complex Word
requested.,Complex Word
Polynesian,Complex Word
Corridors,Complex Word
capability,Complex Word
Samoa,Complex Word
facilitated,Complex Word
donation,Complex Word
clinicians,Complex Word
vaccination,Complex Word
Pacific,Complex Word
populations,Complex Word
antiviral,Complex Word
important,Complex Word
addition,Complex Word
pandemic,Complex Word
globally,Complex Word
hospitalisation,Complex Word
following,Complex Word
infection,Complex Word
especially,Complex Word
pre-existing,Complex Word
conditions,Complex Word
Providing,Complex Word
domestic,Complex Word
increasing,Complex Word
antiviral,Complex Word
collaboration,Complex Word
Organization,Complex Word
ability,Complex Word
pandemic,Complex Word
responsibility,Complex Word
Pacific,Complex Word
together,Complex Word
Pacific,Complex Word
collective,Complex Word
capabilities,Complex Word
prosperous,Complex Word
resilient,Complex Word
Pacific,Complex Word
