Text,Metric
"The Government is acting to ensure decisions on responding to the next phase of the COVID-19 pandemic are informed by the best available scientific evidence and strategic public health advice.“New Zealand has worked towards an elimination strategy which has been successful in keeping our people safe and our economy in good shape,” Minister for COVID-19 Response Chris Hipkins said.“One of our strengths has been our commitment to constantly learn and adapt.“The next phase of the pandemic poses significant challenges, including the emergence of new variants, but it also provides us with new opportunities,” Chris Hipkins said.“As the COVID-19 vaccine programme ramps up in the second half of the year, the Government will face a number of decisions regarding our border and public health settings,” Associate Minister of Health Dr Ayesha Verrall said.“A strategic public health advisory group has been set up to provide independent advice and analysis to the Government, informed by their expertise in epidemiology, infectious diseases, public health, and modelling on these future decisions.“The Government will be seeking their advice on issues such as how much of our population needs to be vaccinated before we can relax our border settings, evidence for transmission blocking properties of the vaccine, strategic public health controls when the borders reopen and public health responses to any new variants that aren’t covered by our current vaccine options.“The Ministry of Health will support the Group’s work and share any information that would be useful to them.",Long Sentence
"The Group will work alongside Sir Brian Roche’s COVID-19 Independent Continuous Review, Improvement and Advice Group, especially around health protections post vaccine.“The members will also have a public facing role.",Long Sentence
"Once advice has been considered, they will need to communicate the science behind any changes to New Zealand’s border settings,” Dr Ayesha Verrall said.The Group will report to the Minister for COVID-19 Response, Chris Hipkins via Associate Minister of Health (Public Health) Dr Ayesha Verrall, who will be meeting the members regularly.The Group’s chaired by Professor Sir David Skegg, and made up of the following members:Dr Nikki TurnerProf Philip HillDr Maia BrewertonProf David MurdochDr Ella IosuaRodney Jones (Special Advisor)Shaun Hendy (Special Advisor)Observer:Dr Ian Town“Sir David is a highly respected epidemiologist and public health physician.",Long Sentence
"Sir David has also been an advisor to the World Health Organization in Geneva for more than three decades,” Dr Ayesha Verrall said.“Dr Nikki Turner is a specialist in immunisation, primary healthcare and preventative child health.",Long Sentence
"Professor David Murdoch is an infectious diseases expert and the Dean of the University of Otago, Christchurch.“Rodney Jones and Professor Shaun Hendy have been appointed as Special Advisors to the Group to assist with any modelling work that’s required.“Professor Hill is also a member of the COVID-19 Independent Continuous Review, Improvement and Advice Group.",Long Sentence
"He will be instrumental in making sure the two groups complement each other and their priorities align.“The Group’sterm runs until 1 June 2022,” Dr Ayesha Verrall said.",Long Sentence
informed,Passive Voice
worked,Passive Voice
been,Passive Voice
been,Passive Voice
been,Passive Voice
set,Passive Voice
informed,Passive Voice
vaccinated,Passive Voice
covered,Passive Voice
been,Passive Voice
considered,Passive Voice
chaired,Passive Voice
respected,Passive Voice
served,Passive Voice
been,Passive Voice
been,Passive Voice
appointed,Passive Voice
Government,Complex Word
decisions,Complex Word
responding,Complex Word
pandemic,Complex Word
available,Complex Word
scientific,Complex Word
evidence,Complex Word
strategic,Complex Word
elimination,Complex Word
strategy,Complex Word
successful,Complex Word
economy,Complex Word
Minister,Complex Word
commitment,Complex Word
constantly,Complex Word
pandemic,Complex Word
significant,Complex Word
challenges,Complex Word
including,Complex Word
emergence,Complex Word
variants,Complex Word
opportunities,Complex Word
Government,Complex Word
decisions,Complex Word
regarding,Complex Word
Associate,Complex Word
Minister,Complex Word
strategic,Complex Word
advisory,Complex Word
independent,Complex Word
analysis,Complex Word
Government,Complex Word
expertise,Complex Word
epidemiology,Complex Word
infectious,Complex Word
diseases,Complex Word
modelling,Complex Word
decisions.,Complex Word
Government,Complex Word
population,Complex Word
vaccinated,Complex Word
evidence,Complex Word
transmission,Complex Word
properties,Complex Word
strategic,Complex Word
reopen,Complex Word
responses,Complex Word
variants,Complex Word
Ministry,Complex Word
information,Complex Word
alongside,Complex Word
Independent,Complex Word
Continuous,Complex Word
Improvement,Complex Word
especially,Complex Word
protections,Complex Word
considered,Complex Word
communicate,Complex Word
Minister,Complex Word
Associate,Complex Word
Minister,Complex Word
regularly.The,Complex Word
Professor,Complex Word
following,Complex Word
TurnerProf,Complex Word
BrewertonProf,Complex Word
IosuaRodney,Complex Word
Advisor,Complex Word
Advisor,Complex Word
Observer,Complex Word
respected,Complex Word
epidemiologist,Complex Word
physician,Complex Word
adviser,Complex Word
Parliament,Complex Word
Epidemic,Complex Word
Committee,Complex Word
pandemic,Complex Word
advisor,Complex Word
Organization,Complex Word
Geneva,Complex Word
specialist,Complex Word
immunisation,Complex Word
primary,Complex Word
preventative,Complex Word
Professor,Complex Word
epidemiologist,Complex Word
expertise,Complex Word
infectious,Complex Word
diseases,Complex Word
Brewerton,Complex Word
clinician,Complex Word
Department,Complex Word
Clinical,Complex Word
Immunology,Complex Word
Allergy,Complex Word
Hospital,Complex Word
biostatistical,Complex Word
University,Complex Word
Professor,Complex Word
infectious,Complex Word
diseases,Complex Word
University,Complex Word
Professor,Complex Word
appointed,Complex Word
Advisors,Complex Word
modelling,Complex Word
Professor,Complex Word
Independent,Complex Word
Continuous,Complex Word
Improvement,Complex Word
instrumental,Complex Word
complement,Complex Word
priorities,Complex Word
