Text,Metric
"Mr. Pedro Sánchez Pérez-Castejón, President of the Government of the Kingdom of Spain.New Zealand and the Kingdom of Spain:Welcomingthe existing strong links between the two countries;Asserting their firm commitmentto the defence of a more democratic rules-based, multilateral order and international institutions, and rules-based trade;Reiteratingtheir shared commitment to a values-oriented foreign policy that pursues democracy, sustainability, gender equality and women’s empowerment, rule of law, human rights, with special emphasis on indigenous peoples and vulnerable groups;Determined towork towards a transformative, sustainable and inclusive economic recovery from the COVID-19 pandemic;Affirmingtheir common resolve to take decisive action on the urgency of climate change and environmental issues;Wishingto promote global peace, human rights and security;Committedto working more closely together to build a dynamic, strong, and forward-facing relationship to further advance these goals; andRecallingthe Joint Declaration and Plan of Action on International Relations and Cooperation concluded in 2009 between their Ministers of Foreign AffairsAdoptthis Joint Declaration.The Kingdom of Spain and New Zealand, despite their geographic situation at the opposite ends of the world, share strong linkages and wish to deepen their ties and bonds through political dialogue, concerted action including in multilateral fora, trade and people-to-people relations.Furthermore, we have common views on the priorities needed to protect and promote a rules-based international order, with a strengthened United Nations at its core, adapted to enable the necessary transformations of our time, from the green transition to the technological revolution, and to better prepare our societies for the future.Hence, Spain and New Zealand commit to elevate the bilateral relationship to a Strategic Partnership based on the following elements.1.",Long Sentence
"Bilateral RelationsTo pursue high-level political and strategic dialogue, both countries undertake first to carry out periodic, reciprocal visits at the level of Prime Minister and President of Government, when international travel and mobility allows.Foreign Ministers will meet and confer frequently.",Long Sentence
"Political consultations at the level of Senior Officials’ talks between our Foreign Ministries will continue to take place annually where possible, between alternate capitals.",Long Sentence
There will be a regular exchange of information and perspectives on areas of mutual interest through briefings and meetings with our Embassies in Wellington and Madrid.,Long Sentence
"Such political consultations and exchanges of information will have a special focus on global governance; global political and security issues of shared concern; and regional matters (in particular, in the Indo-Pacific, Latin America, and Africa).Together we will continue to work towards the prompt conclusion of bilateral agreements and arrangements under negotiation, in particular the Arrangement on Antarctic Cooperation.2.",Long Sentence
"We are determined to advance in our foreign policies the goals of inclusive and more egalitarian societies; a sustainable, greener economy; and vibrant, resilient democracies where pluralism thrives and is reinforced by the technological revolution.The Global Values Partnership, co-led by New Zealand and Spain, will put such values-driven policies at the forefront of our transformative foreign agendas.",Long Sentence
"By launching the Global Values Partnership, Spain and New Zealand will coordinate more closely their efforts to address global challenges and advance an agenda of reinforced multilateralism.",Long Sentence
"We will seek opportunities to speak out together, and with others, carrying out joint, concrete actions in defence of our modern, democratic and internationalist values.3.",Long Sentence
"Multilateral actionsNew Zealand and Spain will continue our strong record of working together multilaterally, including by:Promoting global peace and security, responding to threats posed by terrorism and violent extremism, including online through our continuous support and endorsement of the Christchurch Call to Action.Promoting and protecting human rights and gender equality through support for multilateral and regional human rights processes, and the implementation of the 2030 Agenda and the Sustainable Development Goals.Strengthening the United Nations system so that it better addresses global challenges through concrete actions such as the initiative “Reinforcing Multilateralism Together”, launched in Madrid on November 2020.Promoting respect for international law, including international humanitarian law; supporting international courts and others mechanisms to ensure full accountability for violations of international law, particularly international crimes, human rights violations and the use of chemical weapons; and upholding the United Nations Convention on the Law of the Sea, which sets out the definitive legal framework within which all activities in the oceans and seas must be carried out.Enhancing regional cooperation in the Indo-Pacific, Latin America and Africa.Working together in support of Pacific Island countries including in taking ambitious action on climate change, amplifying Small Island Developing States’ voices in multilateral fora, and regularly consulting on Pacific issues, including in relation to the European Union’s contribution in the Pacific.4.",Long Sentence
"Economy, Trade, Business, Investment, and TechnologyGlobalisation has enhanced connectivity between our two countries, brought prosperity to our societies, and improved the lives of millions.",Long Sentence
