Text,Metric
"Hon Damien O'Connor MP, New Zealand Minister for Trade and Export Growth, and Hon Dan Tehan MP, Australian Minister for Trade, Tourism and Investment, met virtually on Monday 20 September to advance trans-Tasman cooperation under the Australia-New Zealand Closer Economic Relations Trade Agreement (CER).CER is one of the most comprehensive trade agreements in the world and underpins the integration of the New Zealand and Australian economies.",Long Sentence
"During the COVID-19 pandemic, these open economic settings have benefitted exporters and businesses in both countries, contributing to the economic resilience of New Zealand and Australia.",Long Sentence
"Ministers reiterated the importance of the Single Economic Market agenda between Australia and New Zealand to support shared prosperity for our economies, our businesses, and our communities.",Long Sentence
"As part of this agenda, Ministers discussed recent cooperation on supply chains and progress on a Secure Trade Lane that would maximise efficiencies in low-risk goods trade.",Long Sentence
"Ministers also acknowledged the ongoing work in digital trade and e-commerce, science and innovation, circular economy, and Indigenous business collaboration.Reflecting the importance of free movement of people between Australia and New Zealand, Ministers highlighted their desire to see further opportunities for travel between Australia and New Zealand as soon as health conditions allow.",Long Sentence
They reiterated the commitment made by the New Zealand and Australian Prime Ministers’ to work together on re-opening to our Pacific neighbours when it is safe to do so and on systems that would enable a safe reopening to other parts of the world.Ministers reinforced both countries’ commitment to the multilateral rules-based trading system which provides the predictability and stability necessary to ensure that trade can take place efficiently and with the least friction possible.,Long Sentence
"As demonstrated by the challenges of the COVID-19 pandemic, the benefits this system delivers for our countries are more important than ever.",Long Sentence
"Ministers reiterated their concernover the use of coercive economic practices,and notedthe threat these practices pose to the integrity of the multilateral rules-based trading system.Ministers resolved to work together to support a strong outcome at the WTO’s 12th Ministerial Conference (MC12) that promotes a free, fair, predictable, non-discriminatory, transparent, and open trade and investment environment.",Long Sentence
"New Zealand and Australia will continue to work together, including in the Cairns Group, to advocate foragreementat MC12on parametersto cap and reduce trade and production distorting agriculture domestic support by at least half by 2030 and to conclude fisheries subsidies negotiations as soon as possible before the Ministerial.",Long Sentence
"Australia and New Zealand are also working together to deliver a strong outcome on trade and health, including a temporary waiver of certain intellectual property protections on COVID-19 vaccines and other WTO trade and health initiatives in response to the pandemic.",Long Sentence
"New Zealand and Australia support work to improve the WTO’s negotiating, monitoring and dispute settlement functions, and strongly support a binding, two tier operational multilateral dispute settlement system.Ministers welcomed progress across the Joint Statement Initiatives launched in Buenos Aires with a view to updating the WTO rule book to be more inclusive and reflect contemporary issues in international trade.",Long Sentence
They looked forward to delivering new rules on services domestic regulation at MC12 and substantial progress in the e-commerce negotiations.Ministers welcomed the role Asia-Pacific Economic Cooperation (APEC) is playing to uphold the essential role of trade in tackling the impacts of the COVID-19 pandemic and enabling a strong economic recovery in the region.,Long Sentence
"Ministers reflected on the highly successful Informal Leaders’ Meeting chaired by Prime Minister Jacinda Ardern in July, which demonstrated the value of APEC as a vehicle for responding to the health and economic crisis.",Long Sentence
"Ministers committed to working together and with APEC members to implement the commitments in the APEC Ministers Responsible for Trade statement, agreed in June 2021, particularly to reduce costs related to vaccines and related goods.",Long Sentence
"Ministers welcomed the good progress being made by the membership, to agree an ambitious plan by the end of the year, for APEC’s contribution to making the region open, dynamic, resilient and peaceful by 2040.Ministers highlighted the importance of regional trade agreements in providing economic architecture that supports an open, inclusive and prosperous Indo-Pacific region.",Long Sentence
"They highlighted the importance of the Comprehensive and Progressive Agreement for Trans-Pacific Partnership in setting a high standard of rules for trade in the region, and looked forward to Regional Comprehensive Economic Partnership signatories completing their ratification processes so that it can enter into force.",Long Sentence
New Zealand and Australia are committed to working together to upgrade their shared free trade agreement with ASEAN – AANZFTA.,Long Sentence
"They emphasised their determination to ensure that the Pacific Agreement on Closer Economic Relations (PACER) Plus delivers real and practical benefits to the Pacific and supports the recovery of the region from COVID-19.Ministers recognised the importance ofcollective and urgent action to address climate change, includingpursuing efforts to limit the temperature increase to 1.5 degrees above pre-industrial levels.Ministers acknowledged the important role of global trade and investment in these efforts, includingliberalising trade in environmentally-beneficial goods and services, reducing trade-related costs and barriersto accelerate the global uptake of cost effectivelow emissions technologies and solutions, and the phase out and reform of inefficient fossil fuel subsidies that encourage wasteful consumption.",Long Sentence
benefitted,Passive Voice
shared,Passive Voice
made,Passive Voice
demonstrated,Passive Voice
launched,Passive Voice
chaired,Passive Voice
agreed,Passive Voice
related,Passive Voice
made,Passive Voice
committed,Passive Voice
shared,Passive Voice
Hon,Complex Word
Damien,Complex Word
O'Connor,Complex Word
Minister,Complex Word
Hon,Complex Word
Australian,Complex Word
Minister,Complex Word
Tourism,Complex Word
Investment,Complex Word
virtually,Complex Word
September,Complex Word
cooperation,Complex Word
Economic,Complex Word
Relations,Complex Word
Agreement,Complex Word
comprehensive,Complex Word
agreements,Complex Word
underpins,Complex Word
integration,Complex Word
Australian,Complex Word
economies,Complex Word
pandemic,Complex Word
economic,Complex Word
benefitted,Complex Word
exporters,Complex Word
businesses,Complex Word
contributing,Complex Word
economic,Complex Word
resilience,Complex Word
Australia,Complex Word
Ministers,Complex Word
reiterated,Complex Word
importance,Complex Word
Economic,Complex Word
agenda,Complex Word
Australia,Complex Word
prosperity,Complex Word
economies,Complex Word
businesses,Complex Word
communities,Complex Word
agenda,Complex Word
Ministers,Complex Word
cooperation,Complex Word
efficiencies,Complex Word
Ministers,Complex Word
acknowledged,Complex Word
ongoing,Complex Word
digital,Complex Word
innovation,Complex Word
circular,Complex Word
economy,Complex Word
Indigenous,Complex Word
collaboration.Reflecting,Complex Word
importance,Complex Word
Australia,Complex Word
Ministers,Complex Word
highlighted,Complex Word
desire,Complex Word
opportunities,Complex Word
Australia,Complex Word
conditions,Complex Word
reiterated,Complex Word
commitment,Complex Word
Australian,Complex Word
Ministers,Complex Word
together,Complex Word
re-opening,Complex Word
Pacific,Complex Word
enable,Complex Word
reopening,Complex Word
world.Ministers,Complex Word
reinforced,Complex Word
commitment,Complex Word
multilateral,Complex Word
predictability,Complex Word
stability,Complex Word
necessary,Complex Word
efficiently,Complex Word
possible,Complex Word
demonstrated,Complex Word
challenges,Complex Word
pandemic,Complex Word
benefits,Complex Word
delivers,Complex Word
important,Complex Word
Ministers,Complex Word
reiterated,Complex Word
concernover,Complex Word
coercive,Complex Word
economic,Complex Word
practices,Complex Word
practices,Complex Word
integrity,Complex Word
multilateral,Complex Word
system.Ministers,Complex Word
together,Complex Word
Ministerial,Complex Word
Conference,Complex Word
predictable,Complex Word
non-discriminatory,Complex Word
transparent,Complex Word
investment,Complex Word
environment,Complex Word
Australia,Complex Word
continue,Complex Word
together,Complex Word
including,Complex Word
advocate,Complex Word
foragreementat,Complex Word
parametersto,Complex Word
production,Complex Word
distorting,Complex Word
agriculture,Complex Word
domestic,Complex Word
fisheries,Complex Word
subsidies,Complex Word
negotiations,Complex Word
possible,Complex Word
Ministerial,Complex Word
Australia,Complex Word
together,Complex Word
deliver,Complex Word
including,Complex Word
temporary,Complex Word
intellectual,Complex Word
property,Complex Word
protections,Complex Word
initiatives,Complex Word
pandemic,Complex Word
Australia,Complex Word
negotiating,Complex Word
monitoring,Complex Word
settlement,Complex Word
operational,Complex Word
multilateral,Complex Word
settlement,Complex Word
system.Ministers,Complex Word
Initiatives,Complex Word
updating,Complex Word
inclusive,Complex Word
contemporary,Complex Word
international,Complex Word
delivering,Complex Word
services,Complex Word
domestic,Complex Word
regulation,Complex Word
substantial,Complex Word
negotiations.Ministers,Complex Word
Asia-Pacific,Complex Word
Economic,Complex Word
Cooperation,Complex Word
essential,Complex Word
tackling,Complex Word
pandemic,Complex Word
enabling,Complex Word
economic,Complex Word
recovery,Complex Word
Ministers,Complex Word
reflected,Complex Word
successful,Complex Word
Informal,Complex Word
Minister,Complex Word
Jacinda,Complex Word
demonstrated,Complex Word
vehicle,Complex Word
responding,Complex Word
economic,Complex Word
Ministers,Complex Word
committed,Complex Word
together,Complex Word
implement,Complex Word
commitments,Complex Word
Ministers,Complex Word
Responsible,Complex Word
particularly,Complex Word
related,Complex Word
related,Complex Word
Ministers,Complex Word
highlighted,Complex Word
strengthening,Complex Word
Indigenous,Complex Word
businesses,Complex Word
Ministers,Complex Word
membership,Complex Word
ambitious,Complex Word
contribution,Complex Word
dynamic,Complex Word
resilient,Complex Word
2040.Ministers,Complex Word
highlighted,Complex Word
importance,Complex Word
regional,Complex Word
agreements,Complex Word
providing,Complex Word
economic,Complex Word
architecture,Complex Word
inclusive,Complex Word
prosperous,Complex Word
Indo-Pacific,Complex Word
highlighted,Complex Word
importance,Complex Word
Comprehensive,Complex Word
Progressive,Complex Word
Agreement,Complex Word
Trans-Pacific,Complex Word
Partnership,Complex Word
Regional,Complex Word
Comprehensive,Complex Word
Economic,Complex Word
Partnership,Complex Word
signatories,Complex Word
completing,Complex Word
ratification,Complex Word
processes,Complex Word
Australia,Complex Word
committed,Complex Word
together,Complex Word
agreement,Complex Word
ASEAN,Complex Word
emphasised,Complex Word
determination,Complex Word
Pacific,Complex Word
Agreement,Complex Word
Economic,Complex Word
Relations,Complex Word
delivers,Complex Word
practical,Complex Word
benefits,Complex Word
Pacific,Complex Word
recovery,Complex Word
COVID-19.Ministers,Complex Word
importance,Complex Word
ofcollective,Complex Word
includingpursuing,Complex Word
temperature,Complex Word
pre-industrial,Complex Word
levels.Ministers,Complex Word
acknowledged,Complex Word
important,Complex Word
investment,Complex Word
includingliberalising,Complex Word
environmentally-beneficial,Complex Word
services,Complex Word
reducing,Complex Word
trade-related,Complex Word
barriersto,Complex Word
accelerate,Complex Word
effectivelow,Complex Word
emissions,Complex Word
technologies,Complex Word
solutions,Complex Word
inefficient,Complex Word
subsidies,Complex Word
encourage,Complex Word
consumption,Complex Word
