Text,Metric
Prime Minister Rt Hon Jacinda Ardern and Prime Minister the Hon Scott Morrison MP met in Queenstown on 31 May 2021 for the annual Australia-New Zealand Leaders’ Meeting.1.,Long Sentence
"The Australia-New Zealand relationship is unique in its closeness; we are partners and allies, and we share a relationship of family, of whānau.",Long Sentence
"Through our single economic market, our people-to-people ties and our shared interests in the region and the world, Australia and New Zealand stand together.2.",Long Sentence
"The Prime Ministers began by acknowledging the unique role of Australia’s and New Zealand’s Indigenous peoples in the identity of both countries, including their rich cultures and languages, and their ancestral, spiritual and continuing connections to land, water and community.COVID-19 response and recovery3.",Long Sentence
"The Prime Ministers were pleased to have their first in-person meeting since February last year, made possible by two-way quarantine-free travel across the Tasman.4.",Long Sentence
They welcomed close trans-Tasman cooperation in responding to the COVID-19 pandemic and noted that quarantine-free travel was a reflection of how hard both countries have worked to manage COVID-19.,Long Sentence
"They acknowledged the toll on those in both countries who had lost loved ones, and all those who had suffered economically.",Long Sentence
"They expressed condolences to countries which had experienced a far greater impact, including those battling second, third or fourth waves.5.",Long Sentence
"The Prime Ministers acknowledged trans-Tasman collaboration to support early COVID-19 vaccine development and purchase, including the ACT Accelerator and the COVAX Facility.",Long Sentence
"The Prime Ministers undertook to support efforts to ensure the free international movement of medical goods, including vaccines and vaccine components.6.",Long Sentence
The Prime Ministers reaffirmed that together Australia and New Zealand will provide safe and effective vaccines to ensure comprehensive vaccine coverage for our Pacific family and Timor-Leste at the earliest opportunity.,Long Sentence
"The Prime Ministers also confirmed New Zealand and Australia will continue to use a variety of mechanisms to securing and delivering vaccines, including through direct support and bilateral donations to COVAX, bilateral donations to individual countries, and working through multilateral agencies such as UNICEF.",Long Sentence
"Australia and New Zealand are not just providing doses, but also wrap-around support including medical supplies, consumables and support for planning, training, communications and cold storage.",Long Sentence
"The Prime Ministers discussed plans for reconnecting our region with the rest of the world, and welcomed continued close coordination given the linked trans-Tasman border.",Long Sentence
"They noted opportunities to collaborate on initiatives to extend travel options for Pacific neighbours when safe to do so, including through the trans-Tasman quarantine-free travel zone.",Long Sentence
"Leaders also tasked officials to explore technological solutions to verify vaccination status to enable Australians and New Zealanders to reconnect with the wider world,alongside other technological solutions that support a safe reopening, while maintaining the trans-Tasman travel arrangements.",Long Sentence
"The Prime Ministers acknowledged the severe economic hardship the COVID-19 pandemic has caused for many countries in the Pacific, with tourism sectors particularly affected.",Long Sentence
