Text,Metric
Foreign Minister Nanaia Mahuta today announced the appointment of Tara Morton as the next Ambassador to Spain.“Spain is one of our key partners in Europe.,Long Sentence
"As the fourth largest economy in the Eurozone and key member of the European Union, we share a warm relationship across trade, climate change, gender and human rights,” Nanaia Mahuta said.“New Zealand and Spain recently elevated relations between our countries to a Strategic Partnership, reflecting a commitment to strengthen our future collaboration.“In the face of global challenges, Spain supported New Zealand through providing 274,000 COVID 19 vaccine doses during our 2021 vaccination rollout.",Long Sentence
"We have also appreciated Spain’s consistent support for conclusion of the NZ-EU Free Trade Agreement,” Nanaia Mahuta said.Tara Morton is a career diplomat who most recently held the position of manager of the Ministry of Foreign Affairs’ Middle East and Africa Division.Throughout her 18-year career in foreign affairs, she has had several offshore postings, including Chargee d’Affaires at the New Zealand Embassy in Baghdad, head of the sanctions team at the New Zealand Permanent Mission to the United Nations in New York and has also served in Cairo.As Ambassador to Spain, Tara Morton will also be accredited as Ambassador to Andorra, the Holy See, and Morocco and as High Commissioner toMalta.She takes up her position in Madrid next year.",Long Sentence
appreciated,Passive Voice
served,Passive Voice
accredited,Passive Voice
Minister,Complex Word
appointment,Complex Word
Ambassador,Complex Word
economy,Complex Word
Eurozone,Complex Word
European,Complex Word
relationship,Complex Word
recently,Complex Word
elevated,Complex Word
relations,Complex Word
Strategic,Complex Word
Partnership,Complex Word
reflecting,Complex Word
commitment,Complex Word
collaboration.,Complex Word
challenges,Complex Word
supported,Complex Word
providing,Complex Word
vaccination,Complex Word
appreciated,Complex Word
consistent,Complex Word
conclusion,Complex Word
Agreement,Complex Word
diplomat,Complex Word
recently,Complex Word
position,Complex Word
manager,Complex Word
Ministry,Complex Word
Africa,Complex Word
Division.Throughout,Complex Word
several,Complex Word
including,Complex Word
Embassy,Complex Word
Permanent,Complex Word
United,Complex Word
Ambassador,Complex Word
accredited,Complex Word
Ambassador,Complex Word
Andorra,Complex Word
Morocco,Complex Word
Commissioner,Complex Word
toMalta.She,Complex Word
position,Complex Word
