Text,Metric
"Ladies and gentlemen, distinguished guests, ata mārie, tēnā koutou katoa.It’s a great pleasure to attend an event on such an important topic as New Zealand’s future in the Indo-Pacific region.Thank you to the New Zealand Institute of International Affairs for bringing this hui together.I am encouraged to see so many young New Zealanders present.But I’m also not surprised.",Long Sentence
"And at university, it wasn’t domestic politics I primarily studied – it was international relations.In fact, I am not sure I have shared this with MFAT before, but as a student at Waikato University I recall one day seeing a flyer advertising the fact that representatives from our Ministry of Foreign Affairs would be on campus as part of their graduate recruitment programme.",Long Sentence
"I took down the details and when the day arrived, I joined literally hundreds of others as we piled into a fairly packed lecture theatre to hear about what it took to be a diplomat.This was some years ago, but while I can’t recall all that was said, I do recall two very important words – double degree.",Long Sentence
"Apparently, I didn’t apply that same logic for any of the roles I have taken on since.Over the years it has struck me though, how interested not just our young people, but our nation is in the politics and decision making of others.",Long Sentence
"It is easy to assume that all countries would take the level of interest we do in global affairs – but I can tell you that in my experience, they don’t.",Long Sentence
"How many other countries would for instance, factor in the timing of another country’s election in relation to our own?",Long Sentence
"I am still convinced that the last two American elections have probably captured people’s attention to the same degree, if not more, than our own have.I can think of two reasons why this level of global interest persists in New Zealand.",Long Sentence
"But the second, is that we have all too often experienced the impact of others’ decisions on us; the testing of nuclear weapons, dramatic changes in economic policy, war.We may be far from others, but we are not, and have never been, isolated from the impacts of global politics.",Long Sentence
"And you can see this acute sense of self and others in the fundamentals of New Zealand’s foreign policy.Many of our current settings were established by Prime Minister Fraser, who was instrumental in establishing the United Nations under some of the most challenging international conditions imaginable.Peter Fraser recognised for instance that a lasting peace depended on a successful United Nations that collectively protected the sovereignty and independence of small countries.Those fundamentals remain, and they have been further reinforced by successive global challenges.We have entered an era of formidable environmental, health, and geopolitical difficulties.",Long Sentence
"We either ignore the impact our domestic decisions have on others and choose a path of isolationism and nationalism, or we take the view that concerted collective action is the necessary response.Here in Aotearoa New Zealand, the environment in which we are making our foreign policy decisions has changed, but the values we use to make those decisions have not.I want to spend a bit of time today talking about that environment and how we steady our ship in what often feels like ever turbulent seas, with a particular focus on your area of interest – the Indo-Pacific.To start- I have a question for you.",Long Sentence
"Where do you see our place in the world?If you were to ask me, I would give you a very literal answer.",Long Sentence
"We very literally share a population base.That’s why, when we came into office, we focused immediately on lifting New Zealand’s engagement with the Pacific region, delivering greater investment and building long term partnerships.",Long Sentence
"Looking forward, we are focused on long-term resilience, with a high degree of Pacific ownership and innovation.But the Pacific itself is an increasingly contested region.And so, to understand that complexity, and respond to it, we also see the Indo-Pacific as central to our interests.We have embraced the concept of an Indo-Pacific as the wider home for New Zealand, locating Aotearoa in a larger ecosystem of nations and regions that includes East Asia, the Pacific, the Indian sub-continent and the Pacific Rim.Māori tūpuna (ancestors) voyaged through the region.",Long Sentence
"More recent waves of migration have further entrenched this connection.It is a region where the rules-based international order has already supported huge improvements in human conditions, but is a region of deep diversity.The Indo-Pacific includes highly advanced economies Japan, South Korea, Singapore, Taiwan, and United States and Canada.China remains an engine of global growth and one of our most significant, but also one of our increasingly complex relationshipsAustralia – New Zealand’s indispensable partner and ally with a strong track record of contributing in the region – sits at the intersection of both the Indian and Pacific oceans.The rapidly growing and demographically young countries of ASEAN have 650 million people and a rapidly expanding middle class.With all of this regional diversity, New Zealand is not alone in adopting an Indo-Pacific outlook.The ten countries of ASEAN plus Australia, India, Japan, and the United States, the European Union, the United Kingdom, and Germany have also referred to an Indo-Pacific region in reaction to more challenging geopolitics.But while we welcome the concept of an Indo-Pacific region, we do so based on the principles that have served New Zealand well and are consistent with our values.From New Zealand’s perspective, these fundamental principles include:•    Respect for rules: consistency with international law, including the United Nations Convention on the Law of the Sea, freedom of navigation and overflight•    Openness: that the region is open for trade, investment, and the movement of people to support prosperity and open supply chains•    Inclusivity: that all countries in  the region can participate•    That sovereignty is upheld and respected•    Transparency: that states are honest about their foreign policy objectives and initiatives beyond their bordersIn our view, the Indo-Pacific region will need to conduct its affairs in accordance with these principles if it is to successfully address common challenges.Here, the principles of openness and inclusivity are especially key for New Zealand.",Long Sentence
