Text,Metric
"More than10,000 vaccinations were administered to Māori yesterday, the highest number in the vaccine campaign so far, Associate Minister of Health (Maori Health) Peeni Henare announced.There were10,145 doses administered across the motu yesterday this is almost equivalent to the population of Hāwera.",Long Sentence
"The doses are made upof 4,010 first doses and 6,135second doses.The number of first doses administered to Māori increased by just under 20 percent in the past three weeks.“There is now real momentum in the Māori vaccination campaign.",Long Sentence
"Right across the country,Māori arerolling up their sleeves toget vaccinated to protect their whānau and community,” Peeni Henare said.Te Arawa Lakes drive through vaccination clinic is by Māori, for Māori.",Long Sentence
"It has been set up by Korowai Aroha, Te Runanga o Ngati Pikiao, Western Heights Health Centre, Manaaki Ora, Te Roopu Hauora o Te Arawa with support from Lakes DHB.",Long Sentence
"The staff understand their communities concerns and are more than willing to take the time to discuss questions and provide the information they require.During a road trip around the motu Minister Henare has heard from Māori vaccinators and volunteers at the drive through clinic who say they are using whakapapa to connect to whānau, putting them at ease and offering a hangi once they are finished topped off the experience.“Our kaumātua are leading the way,with 91% of those aged 65 and over having had their first dose and 81% fully vaccinated.",Long Sentence
"And I know our elders are now encouraging our rangatahi to get vaccinated too.“We’re also seeingbig increases in Tāmaki Makaurau,with 65.3% of Māorihaving had their first dose, that’s up from 52.8% three weeks ago.“There is still a lot more to do to get our vaccine rates up, but across the motu I am seeing Māori health providers, iwi and local communities doing the work to increase our vaccination rates,” Peeni Henare said.",Long Sentence
administered,Passive Voice
administered,Passive Voice
made,Passive Voice
administered,Passive Voice
increased,Passive Voice
been,Passive Voice
set,Passive Voice
heard,Passive Voice
finished,Passive Voice
aged,Passive Voice
vaccinated,Passive Voice
vaccinations,Complex Word
administered,Complex Word
yesterday,Complex Word
Associate,Complex Word
Minister,Complex Word
administered,Complex Word
yesterday,Complex Word
equivalent,Complex Word
population,Complex Word
doses.The,Complex Word
administered,Complex Word
momentum,Complex Word
vaccination,Complex Word
vaccinated,Complex Word
community,Complex Word
vaccination,Complex Word
Manaaki,Complex Word
understand,Complex Word
communities,Complex Word
information,Complex Word
require.During,Complex Word
Minister,Complex Word
vaccinators,Complex Word
volunteers,Complex Word
whakapapa,Complex Word
offering,Complex Word
experience.,Complex Word
vaccinated,Complex Word
encouraging,Complex Word
vaccinated,Complex Word
seeingbig,Complex Word
increases,Complex Word
Tāmaki,Complex Word
Māorihaving,Complex Word
providers,Complex Word
communities,Complex Word
vaccination,Complex Word
