Text,Metric
"Make sure you’re prepared for if you get COVID-19 while on holiday so we can all enjoy a safe as summer, COVID-19 Response Minister Ayesha Verrall said.“New Zealand’s settings will remain unchanged following a final review for the year,” Ayesha Verrall said.“That includes the retention of 7-day mandatory isolation for positive cases, in order to break the chain of transmission and keep cases and hospitalisations at a manageable level.”The Government continues to provide masks, RATs and vaccines free from thousands of locations around the country.",Long Sentence
"RATs can be ordered from the online requestor site or over the phone, and masks and vaccines from your local pharmacy or through your GP.“Ahead of summer, we are encouraging New Zealanders to take simple precautions to keep a lid on COVID-19 and ensure our hard working health workers get the break they deserve,” Ayesha Verrall said.“If you are eligible for a booster, get one now.",Long Sentence
"Getting boosted significantly reduces your chances of ending up in hospital needing care.“Making sure you’re up to date with your vaccines should be the first thing on your to-do list before Christmas.“We recently extended second booster eligibility to Māori and Pacific peoples aged 40 and over, if you’re now eligible then book in and get boosted before going to see whānau or heading away for the holidays.“Many people have been taking advantage of available anti-viral medications, with 4000 doses being administered each week currently.",Long Sentence
We know this has been keeping people out of hospital and reduced the impact of COVID-19 on the health system.You can get antiviral medication if you’re eligible and test positive for COVID-19.,Long Sentence
"In the first instance for information and eligibility criteria visit the COVID-19 Health Hubwebsiteor speak to your GP or pharmacist.As always if you need COVID-19 health advice call the COVID-19 Healthline on 0800 358 54 53 for free, any time, any day, even on Christmas.“With many people travelling around the country over the coming weeks, it’s important that everyone plays their part.",Long Sentence
prepared,Passive Voice
ordered,Passive Voice
boosted,Passive Voice
been,Passive Voice
administered,Passive Voice
been,Passive Voice
safe,Passive Voice
holiday,Complex Word
Minister,Complex Word
following,Complex Word
retention,Complex Word
mandatory,Complex Word
isolation,Complex Word
positive,Complex Word
transmission,Complex Word
hospitalisations,Complex Word
manageable,Complex Word
Government,Complex Word
continues,Complex Word
locations,Complex Word
pharmacy,Complex Word
encouraging,Complex Word
Zealanders,Complex Word
precautions,Complex Word
eligible,Complex Word
significantly,Complex Word
reduces,Complex Word
hospital,Complex Word
recently,Complex Word
extended,Complex Word
eligibility,Complex Word
Pacific,Complex Word
eligible,Complex Word
holidays.,Complex Word
advantage,Complex Word
available,Complex Word
anti-viral,Complex Word
medications,Complex Word
administered,Complex Word
currently,Complex Word
hospital,Complex Word
system.You,Complex Word
antiviral,Complex Word
medication,Complex Word
eligible,Complex Word
positive,Complex Word
information,Complex Word
eligibility,Complex Word
criteria,Complex Word
Hubwebsiteor,Complex Word
pharmacist.As,Complex Word
travelling,Complex Word
important,Complex Word
everyone,Complex Word
