title,content,meta
NZ backs moves to improve global access to COVID vaccines,"New Zealand welcomes and strongly supports the announcement made by the United States Trade Representative to work for a waiver of IP protections on COVID-19 vaccines at the WTO, Trade Minister Damien O’Connor said.“New Zealand supports equitable access to COVID vaccines for all. No one is safe from the virus until everyone is safe from it, so it is in all our interest to remove any blocks to access and distribution of the vaccine,” Damien O’Connor said.“New Zealand supports the waiver of IP protections on vaccines as an important part of our collective efforts to address the human catastrophe of the pandemic.“The Government has been actively engaged in discussions at the WTO on the TRIPS waiver and we welcome the US announcement and look forward to taking this forward with urgency.“In addition to removing barriers to speedy access to the vaccine via the WTO, New Zealand continues to strongly support the COVAX Facility, which is playing a critical role to ensure vaccines reach all corners of the globe.“New Zealand has contributed $17 million in Official Development Assistance to support these efforts, and is sharing 1.668 million vaccine doses (sufficient for over 800,000 people) to COVAX for distribution to developing countries. This is in addition to our direct support for vaccine access for Pacific Island countries.“We are also working in APEC, the WTO and other fora to address other elements of vaccine supply issues including through the supply chains that are limiting the availability of vaccines regionally and globally.“This includes our collective and urgent need to address tariff barriers, regulatory restrictions, export restrictions and enable trade facilitation measures that could facilitate swift access to vaccines and their effective distribution.  We also need to do all we can to increase the manufacture, distribution and availability of vaccines.“In less than a month, on 5 June, I will chair a meeting of all 21 APEC trade ministers. I want our region to send a united message to the world that we must get all our people vaccinated as fast as possible and that trade must be a part of the solution to avoid more human suffering and economic pain,” Damien O’Connor said.","Publication Date: 6 May 2021
URL: https://www.beehive.govt.nz//release/nz-backs-moves-improve-global-access-covid-vaccines
Portfolios: Trade and Export Growth"
New Zealand_s largest vaccine shipment arrives ahead of schedule,"The largest shipment of Pfizer vaccines yet has arrived two days ahead of schedule, thanks to a joint effort by the Ministry of Health, Pfizer and logistics company DHL, says COVID-19 Response Minister Chris Hipkins.The shipment of 150,000 doses touched down late yesterday afternoon.The vaccines were taken straight from the tarmac at Auckland Airport to the storage and distribution centre, where quality checks were carried out to ensure ultra-low temperatures were maintained during the flight and that none of the vials were damaged in transit.“Staff worked late last night to pack and get the vaccine ready for shipment by road and air to District Health Boards and vaccination centres around the country today,” Chris Hipkins said.“With our first July shipment safely on the ground and 1 million doses arriving this month, over the coming weeks we can start to ramp up the number of vaccines being administered.”New Zealand had distributed nearly all of its supply of the Pfizer vaccine in storage, giving DHBs enough stock to last until Wednesday.“The early arrival means no DHB will run out of vaccine. Teams have been working tirelessly to ensure vaccine doses have been getting to the right places to honour all existing appointments, and they’ve done a fantastic job.”The Ministry of Health has been in constant contact with Pfizer. The company helped secure an earlier release of the vaccines, while DHL planned a route with the quickest transit times to get the vaccines to New Zealand quickly and safely.“I commend and thank everyone involved – including the wider vaccinator workforce – for their ongoing efforts to ensure people continue to get vaccinated,” Chris Hipkins said.“Our goal is to keep New Zealanders safe from COVID-19 and vaccination is an important part of that.”","Publication Date: 5 July 2021
URL: https://www.beehive.govt.nz//release/new-zealand%E2%80%99s-largest-vaccine-shipment-arrives-ahead-schedule
Portfolios: COVID-19 Response"
Government secures monkeypox medicine,"Associate Minister of Health Dr Ayesha Verrall has today announced the Government has secured monkeypox (MPX) medicine tecovirimat which is expected to be available in New Zealand from late September.In addition Te Whatu Ora (Health New Zealand) is also working with Pharmac to secure a supply of a smallpox vaccine known as Imvanex or Jynneos, which is effective against monkeypox.“I’m pleased we’ve been able to secure 504 courses of the monkeypox medicine tecovirimat. This medicine will be free and used to treat those who become unwell with MPX,” Ayesha Verrall said.“While New Zealand doesn’t currently have any active cases of MPX, and the risk of widespread transmission is low it is important we are prepared.“Sometimes people with the virus experience painful lesions and some people may require hospital level care. This medicine will help those people.“Labour Governments have a long history of supporting Aotearoa’s LGBTQIA+ and takatāpui communities and I hope that this news will alleviate some worry for those who may be at risk if further cases occur in New Zealand.‘While most people with MPX will be able to isolate and recover fine at home, having access to this medicine provides assurance that we can assist people who could be more impacted by MPX.“Treatment is just a small part of our wide ranging response in preparation for a potential MPX outbreak. The Public Health Agency and Te Whatu Ora have taken a holistic approach ranging from prevention and preparation messaging, testing availability, contract tracing and providing support to those who contract it and need to isolate.“Testing for MPX can be carried out at sexual health or family planning clinic as well as a general medical practice. The test itself is just a quick swab of any lesions on your skin and/or a throat swab.“We are also working hard to secure access to a vaccine, but there is limited global supply and distribution is being prioritised to those countries experiencing outbreaks, which we currently aren’t.“While MPX is not as contagious as some other diseases, such as measles or COVID-19, it is still key that if you develop symptoms you stay home, self-isolate and seek advice. Many illnesses can cause similar symptoms so it may not be MPX, but it’s important to get help,” said Dr Ayesha Verrall.","Publication Date: 26 August 2022
URL: https://www.beehive.govt.nz//release/government-secures-monkeypox-medicine
Portfolios: Health"
Take steps to stay COVID_19 safe this summer,"Make sure you’re prepared for if you get COVID-19 while on holiday so we can all enjoy a safe as summer, COVID-19 Response Minister Ayesha Verrall said.“New Zealand’s settings will remain unchanged following a final review for the year,” Ayesha Verrall said.“That includes the retention of 7-day mandatory isolation for positive cases, in order to break the chain of transmission and keep cases and hospitalisations at a manageable level.”The Government continues to provide masks, RATs and vaccines free from thousands of locations around the country. RATs can be ordered from the online requestor site or over the phone, and masks and vaccines from your local pharmacy or through your GP.“Ahead of summer, we are encouraging New Zealanders to take simple precautions to keep a lid on COVID-19 and ensure our hard working health workers get the break they deserve,” Ayesha Verrall said.“If you are eligible for a booster, get one now. If you haven’t had your first or second dose, it’s not too late. Getting boosted significantly reduces your chances of ending up in hospital needing care.“Making sure you’re up to date with your vaccines should be the first thing on your to-do list before Christmas.“We recently extended second booster eligibility to Māori and Pacific peoples aged 40 and over, if you’re now eligible then book in and get boosted before going to see whānau or heading away for the holidays.“Many people have been taking advantage of available anti-viral medications, with 4000 doses being administered each week currently. We know this has been keeping people out of hospital and reduced the impact of COVID-19 on the health system.You can get antiviral medication if you’re eligible and test positive for COVID-19. In the first instance for information and eligibility criteria visit the COVID-19 Health Hubwebsiteor speak to your GP or pharmacist.As always if you need COVID-19 health advice call the COVID-19 Healthline on 0800 358 54 53 for free, any time, any day, even on Christmas.“With many people travelling around the country over the coming weeks, it’s important that everyone plays their part. Get prepared now so we can all have safe as summer.” Ayesha Verrall said.","Publication Date: 19 December 2022
URL: https://www.beehive.govt.nz//release/take-steps-stay-covid-19-safe-summer
Portfolios: COVID-19 Response"
NZ Cook Islands travel bubble significant step in COVID_19 recovery,"New Zealand Prime Minister Jacinda Ardern and Cook Islands Prime Minister Mark Brown have today announced that, pending final confirmation by New Zealand’s Director-General of Health and the Cook Islands Secretary of Health, two-way quarantine-free travel will commence between the two countries on 17 May (NZT).“Two way quarantine-free travel is a significant step in both countries’ COVID-19 recovery, and a direct result of both New Zealand and the Cook Islands’ successful response to the pandemic,” Jacinda Ardern said.“It will mean families can reconnect, commercial arrangements can resume and Kiwis can take a much-welcomed winter break and support the Cook Islands’ tourism sector and recovery.“That we can take this step in our recovery so soon after opening the trans-Tasman bubble highlights the benefits of our COVID-19 management, and the opportunities it is now providing New Zealand and our neighbours.“This is a world-leading arrangement and it’s important to remember many other countries still have bans in place on travel for holiday purposes.”Jacinda Ardern said a huge amount of work had gone into ensuring the two-way bubble was safe and that the Cook Islands was set up and ready for it.“The health and safety of the people of the Cook Islands has at all times been paramount.“Vaccination, while not an answer on its own, will provide an added layer of protection once rolled out, and we continue to advance these plans alongside the Cook Islands,” said Jacinda Ardern.“The confirmation of 17 May for the commencement of two-way quarantine-free travel between the Cook Islands and New Zealand is the result of our uncompromising commitment to ensuring all necessary health and border measures are instituted to the highest standards of protection against COVID-19 prior to commencement,” Mark Brown said.“Since my visit to New Zealand at the end of March, and various engagements with Prime Minister Ardern and members of her Cabinet, we have jointly elevated effort towards bolstering readiness and response capabilities against COVID-19 in preparation for the safe resumption of two-way quarantine-free travel between our countries.“The learnings from the trans-Tasman arrangement have informed further bolstering of response capabilities by both Governments in preparation for commencement of the Cook Islands - New Zealand quarantine-free travel arrangement.“In close partnership with New Zealand, we are continuing to work through final details for the deployment of vaccines to the Cook Islands and expect to provide further details on the vaccine roll-out within the next week few weeks.“I acknowledge with deepest gratitude our people’s continued trust in our leadership and whole of society endeavour to keep our people safe from the virus, and the incredible work of a steadfast team of committed officials working in close partnership with our community and industry and their New Zealand counterparts.“Today we start our journey of recovery. Today we get back to business. Today with our joint confirmation of the 17 May, we give our people, and particularly our industry, the certainty necessary to institute remaining preparatory steps to once more welcome visitors to our shores.”Commencement of the bubble is subject to a final set of criteria being met, including airline and airport preparedness, all necessary protocols and frameworks being in place, and final sign off from the New Zealand Director-General of Health and the Cook Islands Secretary of Te Marae Ora – Ministry of Health.Further informationFull information about quarantine-free travel, including eligibility, what travellers should expect, and updates to requirements, are on:The New Zealand Government COVID-19 website: www.covid19.govt.nzThe Cook Islands Government COVID-19 website: www.covid19.gov.ckQuarantine-free travel applies to all travellers in New Zealand and the Cook Islands who meet the eligibility requirements to travel.Travellers will have to have been in either the Cook Islands or New Zealand for at least 14 days before travel. This means anyone wanting to travel between Australia and the Cook Islands would need to spend at least 14 days in New Zealand in the middle.No one should travel if they are unwell, if they are waiting on a COVID-19 test, or if they have been in contact with anyone suspected to have COVID-19.There will be no requirement for a pre-departure COVID-19 test, but travellers will have to complete a travel declaration, provide a health declaration and there will be random health checks at airports.Normal immigration rules for entry into each country will continue to apply. Travellers will need to check what that means for their individual situation.From 17 May travellers in both directions will not have to enter managed quarantine facilities.Flights will be operating as ‘green’, with measures in place through the traveller journey to keep travellers separate from ‘red’ flights in and out of New Zealand where passengers need to enter MIQ.","Publication Date: 3 May 2021
URL: https://www.beehive.govt.nz//release/nz-cook-islands-travel-bubble-significant-step-covid-19-recovery
Portfolios: Prime Minister"
Significant support goes to Maori and whānau most at risk of COVID_19,"Associate Minister for Health (Māori) Hon Peeni Henare is pleased to confirm that the timing and sequencing of the COVID-19 Vaccine Programme has a strong focus on protecting Māori whānau.“The COVID-19 vaccination programme is the largest and most intensive vaccination programme the health sector has ever embarked on and we are ensuring that whānau are at the centre,” Peeni Henare said.“We know Māori are more likely to be worse off from the effects of COVID-19. That is why Māori needs are at the forefront of the Government’s Vaccination Programme.“Our plan is simple – first protect whānau most at risk of picking up the virus in their workplace, in doing so reducing the risk of future outbreaks and then protecting our elders who are most at risk of getting seriously ill if they get the virus.“We know that elder Māori and Pacific peoples are more likely to live with whānau rather than in an aged care facility. This is why from this month we are allocating 40,000 vaccine courses to Māori and Pacific health providers to target vaccinations within the communities they service in order to reach these people.“This is a by Māori for Māori approach to this component of our vaccine roll-out.“When a kuia or koroua go to get vaccinated, their whānau members who live with them will also be able to be vaccinated at the same time – this whānau-centred approach means that an entire whānau can be vaccinated altogether and will help to keep our people safe.“We are taking a flexible and whānau-centred approach that focuses on the protection of our kuia and koroua and those with long term health conditions as a priority.“Māori health providers and communities know what’s best for their people, it’s important that there is flexibility in the roll out of the programme to ensure Māori do not miss out on the vaccination.“We live in large, intergenerational whānau so it just makes sense to vaccinate an entire whānau at the same time to ensure the best possible protection for our kaumatua and those with long term health conditions.“We‘re also recognising the special circumstances of South Auckland by prioritising those who live there who are most at risk of picking up or getting the virus, many of whom will be Māori.“Two of our major outbreaks have been geographically based in South Auckland. Our approach brings forward to this month the start of vaccinations for anyone aged over 65 or who has underlying health conditions that live in the Counties Manakau catchment.“This is about protecting our whānau, hapu, iwi and our whakapapa and we are ensuring that those most at risk of getting sick from the virus are prioritised in getting the vaccine.The Government has also committed dedicated funding and resources for Māori communities to prepare for the COVID-19 vaccination programme.Initial funding of approximately $39 million will ensure Māori communities and providers are prepared for the roll out of the COVID-19 programme in their communities. An initial 40,000 courses of the COVID-19 Vaccine will be provided specifically for Māori and Pasifika health providers. Giving the providers the flexibility to best meet the health needs of people they meet with.The funding and vaccine allocation is as follows:$24.5 million for the development of community-based vaccine support services that will support Māori Health Providers to engage and prepare their communities for the COVID-19 vaccination programme$11 million to be provided directly to Māori Health Providers to help build provider infrastructure and workforce capability$2 million for iwi to deliver dedicated and tailored communications campaigns to their whānau$1.5 million for workforce development40,000 courses of the COVID-19 vaccine as a starting point for Māori and Pasifika health providers.“This initial funding will support preparedness and readiness for the COVID-19 Vaccine Programme and the Ministry of Health is working to identify further funding requirements for delivery and roll out of the COVID-19 vaccine to Māori communities.The Ministry of Health will provide more detail about the funding provisions for Māori Health Providers in the near future.“We need to constantly remember that this is about the protection of our whānau. My wero is to hold open korero, encourage everyone around you to think about what is important and how best we can work together to protect our whānau, hapu and iwi. We are all whānau influencers and we all have a part to play to protect our whānau,” Peeni Henare said.","Publication Date: 10 March 2021
URL: https://www.beehive.govt.nz//release/significant-support-goes-maori-and-wh%C4%81nau-most-risk-covid-19
Portfolios: Health"
COVID_19 Protection Framework retired NZ moves forward with certainty,"The COVID-19 Protection Framework ends at 11.59pm tonight, Monday 12 SeptemberAll mask wearing requirements removed, except in healthcare and aged care facilitiesOnly COVID-19 positive individuals required to isolate for seven days, household contacts no longer need toAll Government vaccine mandates to end in two weeks on 26 SeptemberRemoval of all vaccination requirements for incoming travellers and air crewSupport for business and workers to continue through leave support paymentsAll New Zealanders aged 65 and over, and Māori and Pacific aged 50 and over, to have automatic access to COVID anti-virals if they test positiveThe COVID-19 Protection Framework, also known as the traffic light system, will be removed from 11.59pm tonight, Monday 12 September, so all New Zealanders can continue to move forward with certainty, Prime Minister Jacinda Ardern has announced.“It’s time to safely turn the page on our COVID-19 management, and live without the extraordinary measures we have previously used,” Jacinda Ardern said.“Today marks a milestone in our response. Finally, rather than feeling that COVID dictates what happens to us, our lives, and our futures, we take back control.“For the first time in two years we can approach summer with the much needed certainty New Zealanders and business need, helping to drive greater economic activity critical to our economic recovery.“The most recent health advice now tells us that with the lowest cases and hospitalisations since February, our population well vaccinated, and expanded access to anti-viral medicines, New Zealand is in a position to move forward.“You will no longer be required by Government to wear a mask anywhere, except in healthcare settings like hospitals, GPs and aged residential care facilities.“Some places, such as workplaces, special events, or marae may ask you to wear a mask, but this will be at their discretion and no longer a Government requirement. Please respect those who choose to keep wearing masks as a form of protection.“All remaining Government vaccine mandates will end in two weeks on 26 September. It will now be an employer’s discretion as to whether they require their workforce to be vaccinated.“Vaccination requirements for all travellers arriving into New Zealand including air crew also ends, and the requirement to test on day 0/1 and 5/6 will now just be encouraged.“Our 7 day isolation period for COVID cases will remain.“However, the 7 day isolation period will now only be required for those who test positive for COVID-19. Their household contacts will only be asked to undertake a daily RAT test before going about their life as normal.“In short, we now move on to a simple two requirements system of masks in healthcare settings and 7 days isolation for positive cases only,” Jacinda Ardern said.COVID-19 Minister Ayesha Verrall also announced today a significant additional purchase of 40,000 more anti-viral medicine courses, expected to enter New Zealand in the next few days.“We are giving greater access to anti-viral medicines for New Zealanders, and have secured agreements that provide a significant boost to our supply for the long term,” Ayesha Verrall said.“So now, anyone over the age of 65, and Māori and Pacific people over the age of 50, or anyone who meets Pharmac requirements, can access the treatment in the early stages of contracting the virus.“This means more than double the number of New Zealanders will be able to access these medicines if they need them than previously,” Ayesha Verrall said.“There is no question – thousands of lives have been saved by the efforts of Kiwis. Be it iwi and Maori health providers, Pacifica organisations, aged care providers, businesses or the sacrifices of New Zealanders separated from loved ones, everyone played a part.“So today, I say again to everyone, from the bottom of my heart, thank you,” Jacinda Ardern said.Notes to the editor:From Tuesday we will now move to weekly COVID reporting, similar to Australia.The current rolling 7 day average of hospitalisations is 241, the lowest since February and down from 273 this time last week. There are 225 current hospitalisations. There have been a total of 1,950 deaths, a 7 day rolling average of 5.People visiting the following healthcare settings will be required to wear a mask:primary careurgent carehospitalspharmaciesaged residential caredisability-related residential careThe requirement excludes counselling, mental health and addiction services.More information can be found at the Unite Against COVID-19 website.","Publication Date: 12 September 2022
URL: https://www.beehive.govt.nz//release/covid-19-protection-framework-retired-nz-moves-forward-certainty
Portfolios: Prime Minister, COVID-19 Response"
Thousands of MIQ spaces allocated to secure economic recovery,"Five hundred spaces per fortnight will be allocated in managed isolation facilities over the next 10 months, many for skilled and critical workers to support our economic recovery, COVID-19 Response Minister Chris Hipkins and Agriculture Minister Damien O’Connor say.“The Trans-Tasman bubble has freed up more rooms, allowing us to allocate more places in managed isolation for critical workers,” Chris Hipkins said.“It has given us flexibility to expand our engagement with the rest of the world on a targeted basis and attract skills and people needed to drive our economic recovery, while carefully managing risks of bringing in COVID-19.“We’re now at the stage in our COVID response where fewer New Zealanders are choosing to come home, which gives us the opportunity to focus MIQ more on bringing in skills to support our economic recovery.“We’re consistently averaging more than 10 per cent of MIQ spaces set aside for economic purposes per month, which Labour promised at the election.”About 500 MIQs rooms will be made available for ‘large groups’ every fortnight. These include spaces for:Around 300 RSE workers every month from June – with a total of 2400 arriving by March 2022300 specialised construction workers between June and October400 international students for arrival in June, out of the 1000 previously announced, for the start of semester two100 refugees every six weeks from July.“This is great news for the construction sector and will help us deliver on our strong pipeline of critical infrastructure work that will accelerate our recovery. It gives certainty for planning projects with specialist workers from overseas, maintains construction jobs for Kiwis and will bring new knowledge to New Zealand for employers and employees.“The Construction Sector Accord has consulted widely and it will continue to work with industry to prioritise the specific types of skills it needs.“They include civil and structural engineers, project managers and a range of specialist technical workers such as hydraulic modellers and mass transit specialists.“We’ve also renewed border exceptions for shearers, rural mobile plant machinery operators and essential travellers to and from the Pacific. They will need to book spaces through the online Managed Isolation Allocation System.”Agriculture Minister Damien O’Connor said the dedicated spaces in MIQ and renewed border exceptions will provide our agriculture, horticulture and viticulture sectors with the additional workforce to support our rural communities and help drive New Zealand’s economic recovery from COVID-19.“The Government and food and fibre sector have been working hard to mitigate worker shortages by training and upskilling New Zealanders, but there is still the need for additional labour.“This decision should see around 2400 more RSE workers entering New Zealand in time for next summer’s harvest season and pruning this winter. This is in addition to the 7300 RSE workers currently in the country, including the 2000 the Government approved to support the horticulture and viticulture industries during the recent summer harvest season.“Border class exceptions have also been agreed for 40 more shearers and 125 rural mobile plant machinery operators for the 2021/2022 season – subject to completion of sector workforce plans, a model to upskill New Zealanders and agreed wage rates.”More spaces in MIQs for targeted groupsChris Hipkins said the Government is taking a number of factors into account when allocating rooms in managed isolation.“We’re balancing seasonal and strategic skills shortages, seasonal variations of when overseas New Zealanders travel home; and our international obligations, such as providing hundreds of MIQ places for the United States Antarctic Programme over the winter months.“Around 20,000 vouchers will be made available in the online Managed Isolation Allocation System over the next three months for New Zealanders wanting to return home.“New Zealand’s COVID-19 Elimination Strategy and the efforts of the team of five million have made this progress possible.“Seeing early on that a strong health response is the best economic response has put us in an enviable global position and, as we roll out the vaccine, allows us to move into the next phase of our COVID-19 response,” Chris Hipkins said.","Publication Date: 10 May 2021
URL: https://www.beehive.govt.nz//release/thousands-miq-spaces-allocated-secure-economic-recovery
Portfolios: Agriculture, COVID-19 Response"
Plan for vaccine rollout for general population announced,"New Zealanders over 60 will be offered a vaccination from July 28 and those over 55 from August 11, Prime Minister Jacinda Ardern announced today.The rollout of the vaccine to the general population will be done in age groups as is the approach commonly used overseas, with those over 45 years to receive vaccine invitations from mid to late August, those over 35 years from mid to late September, and everyone else being eligible from October.“Our vaccination programme is ahead of plan, with nearly one million doses administered and operating at 107% of target,” Jacinda Ardern said.“From the end of July we will enter a new phase of our vaccination programme when we start receiving the bulk of our vaccines and are able to broaden the rollout considerably to the wider population.“We’re rolling out the vaccine based on age bands because it’s a simple approach most commonly used overseas and because the risk of COVID increases as you get older.“When it’s your age bands’ turn to be vaccinated you will receive an invitation from the Ministry of Health to make a booking. You will get this invite either by email, text, mail or by phone.“People will be asked to use the new Book My Vaccine online national booking tool to book their first and second doses. People will also be able to phone a new national vaccination booking call centre to make a booking if they wish.“To reach those we need to in a timely way,we will be putting in place measuressuch as mass vaccine events, work place vaccinations and vaccinations for entire rural and isolated communities all at once.“The Ministry of Health iscurrently consulting with large New Zealand businesses and Business NZ. Fonterra and Mainfreight are already lined up to be involved.“Just as in 2020 we asked the team of five million to stay home to save lives, in 2021 we need the team to get vaccinated to save lives.“High levels of vaccination will ensure we retain our hard won freedoms and proud place as one of the few countries in the world without COVID in the community.“This is the largest and most complex vaccination campaign New Zealand has ever run. We will keep making improvements as we go, but we are well positioned to ensure every eligible New Zealander will have the opportunity to be vaccinated by the end of the year,” Jacinda Ardern said.","Publication Date: 17 June 2021
URL: https://www.beehive.govt.nz//release/plan-vaccine-rollout-general-population-announced
Portfolios: Prime Minister"
New measures to help manage COVID_19 as country stays at Orange,"New Zealand to remain at Orange as case numbers start to creep up50 child-size masks made available to every year 4-7 student in New Zealand20,000-30,000 masks provided a week to all other students and school staffExtra funding to schools and early childhood services to supports better ventilation over the winter monthsFree flu vaccine made available to all children aged 3-12 years oldReinfection advice amended. Anyone who experiences symptoms 29 days or longer after previous infection should test and will need to isolate if they test positive.The Government is taking action to help reduce the spread of COVID-19 in schools and early childhood services, COVID-19 Response Minster Dr Ayesha Verrall and Associate Education Minister Jan Tinetti announced today.The country will remain at the Orange traffic light setting, with cases and hospitalisations remaining much lower than the peaks experienced earlier in the year. But with hospitals under pressure from flu and COVID and numbers starting to creep up again a suite of additional measures are being put in place to help reduce spread.“Moving back to Red is unnecessary at the moment. We can continue to manage the virus at Orange, but are putting in place a range of additional measures to help manage a recent rise in cases,” Dr Ayesha Verrall said.“Yesterday the seven-day rolling average of COVID-19 cases was 5,808 and there were 395 people in hospital and 8 in ICU. For comparison when we moved out of red in April the rolling average of cases was nearly 10,000 a day and there were over 500 people in hospital including 28 in ICU.“However cases are ticking up and our health system is under pressure so we are putting in place a range of additional measures to help manage the virus over the coming winter months.“The first thing we have already announced is the extension of the free flu vaccine to all children aged 3-12 and the provision of a second COVID-19 booster for everyone over the age of 50.“Getting vaccinated is the number one thing New Zealanders can do to help relieve pressure on our health system this winter. We are seeing an overrepresentation of unvaccinated people in hospital admissions so we strongly urge everyone to make sure they are up to date with their vaccines.“We are also updating our advice around reinfection and are now asking anyone experiencing COVID-19 symptoms 29 days or longer following their initial infection to test. Should they test positive they will need to isolate for 7 days.“This is a change from earlier advice which was that people would not need to re-test if they had tested positive for COVID-19 within the past 90 days and is based on the latest international evidence and the need to isolate quickly people with reinfections.“However household contacts who have had COVID-19 within 90 days won’t need to isolate, unless they are symptomatic. There is clear updated advice on what they should do to reduce risks to themselves and others.“While reinfections are low at the moment they are likely to increase. The B.5 variant of Omicron is predicted to become the dominant strain in the country in the coming weeks and is a different variant to what most New Zealanders caught the first time around.“With these measures, alongside additional support in schoolsand early childhood services, the Government is stepping up our response to help reduce the spread of COVID. We always said this was going to be a challenging winter and we need everyone to play their part to help us get through safely,” Dr Ayesha Verrall said.The Government is also providing a range of measures to help schools reduce the risk of winter illness spreading.“The Ministry of Education has already secured a supply of 10 million special child-sized masks and intends to have them ready for distribution at the start of Term 3,” Jan Tinetti said.“This means there will be 50 child size masks provided for every child in years 4 to 7 in schools and Kura throughout the country from now until the end of the 2022.“This is in addition to the adult sized mask offered to all school children from year 8 and up. Around 20,000-30,000 masks are already being distributed to students and staff every week across the country“The Government will also be providing additional funding this winter to encourage schools and centre-based early childhood services to maintain healthy levels of heating and ventilation to help reduce colds, flu and COVID from spreading.“Good ventilation over winter can lead to some heat loss and higher heating bills. The winter energy payments will help reassure schools and services that they can balance heating and ventilation, without unaffordable energy bills.“The Government does not usually explicitly fund energy costs for services, but the COVID-19 pandemic is a unique situation. The scientific evidence is clear that good ventilation helps prevent the spread of COVID-19.”“In addition the Government has already provided every school in New Zealand with CO2 monitors to help them identify spaces where maintaining good ventilation is proving more challenging, and bought more than 8,000 air cleaners to help improve the ventilation in these areas. Every school has access to more air cleaners at no cost if they need them to help supplement their approach to ventilation this winter.“I want thank our teachers, principals and parents, who are doing a fantastic job at keeping infection rates down. I’m pleased we are able to provide this extra support to help get through winter,” Jan Tinetti said","Publication Date: 30 June 2022
URL: https://www.beehive.govt.nz//release/new-measures-help-manage-covid-19-country-stays-orange
Portfolios: COVID-19 Response, Education"
