Text,Metric
"Auckland will move to COVID-19 Alert Level 1 at midday today, Friday 12 March.This follows six days of Auckland being at Level 2, with seven days prior to that at Level 3, after 15 positive community cases emerged outside managed isolation facilities.“Level 2 restrictions being in place until today have allowed us to get the results of day-12 testing for the last remaining contacts of case M, who are in isolation.",Long Sentence
"These all came back negative overnight,” Prime Minister Jacinda Ardern said.“There are some remaining day-12 tests but these are for individuals already in a quarantine facility.“It also means we’ve now gone a full transmission cycle since the last exposure event where we were concerned people could have picked up the virus.“The Director-General of Health has advised Cabinet he considers the outbreak contained.“I know everyone in Auckland will be looking forward to a weekend with fewer restrictions, but we are asking that everyone keeps up the good habits that help us deal with cases if they emerge.",Long Sentence
"That includes scanning in or keeping a record of everywhere you go.“We each have the power to keep the country at Level 1, by continuing to follow health guidelines, including vigilant record keeping.“As a Government we’ll also keep doing our bit.",Long Sentence
This week the Government has:Announced the purchase of enough Pfizer vaccines to vaccinate everyone in New Zealand.Outlined how the vaccination programme –the largest in New Zealand’s history – will roll out.Established a new advisory group to ensure continual improvements in New Zealand’s COVID-19 response.,Long Sentence
"The group will provide impartial advice and assurances on the performance and settings of managed isolation and quarantine facilities, on planning for an outbreak, and on public communications and responses in the community.“Our systems have improved so much over the past year, but we will keep reviewing things to make sure we constantly do better.”",Long Sentence
managed,Passive Voice
allowed,Passive Voice
gone,Passive Voice
picked,Passive Voice
advised,Passive Voice
managed,Passive Voice
improved,Passive Voice
positive,Complex Word
community,Complex Word
isolation,Complex Word
facilities.,Complex Word
restrictions,Complex Word
remaining,Complex Word
isolation,Complex Word
negative,Complex Word
overnight,Complex Word
Minister,Complex Word
Jacinda,Complex Word
remaining,Complex Word
individuals,Complex Word
already,Complex Word
quarantine,Complex Word
facility.,Complex Word
transmission,Complex Word
exposure,Complex Word
Director-General,Complex Word
Cabinet,Complex Word
considers,Complex Word
everyone,Complex Word
restrictions,Complex Word
everyone,Complex Word
everywhere,Complex Word
continuing,Complex Word
including,Complex Word
vigilant,Complex Word
Government,Complex Word
Government,Complex Word
vaccinate,Complex Word
everyone,Complex Word
Zealand.Outlined,Complex Word
vaccination,Complex Word
history,Complex Word
out.Established,Complex Word
advisory,Complex Word
continual,Complex Word
improvements,Complex Word
impartial,Complex Word
assurances,Complex Word
performance,Complex Word
isolation,Complex Word
quarantine,Complex Word
facilities,Complex Word
communications,Complex Word
responses,Complex Word
community.,Complex Word
reviewing,Complex Word
constantly,Complex Word
