Text,Metric
"With over half the eligible population now fully vaccinated and more than 80% with at least one dose, we’ve all got to do our bit reach the remaining 20%, COVID-19 Response Minister Chris Hipkins says“We’ve got a plan and to make it work we’re asking everyone to contribute to a big, nationwide push for vaccination.",Long Sentence
"This will culminate in a National Day of Action for vaccination on Saturday 16 October,” Chris Hipkins said.“On that day, we will have vaccine clinics open throughout Aotearoa all day and into the evening.",Long Sentence
"A bit like Election Day, we will be asking all our political and civic leaders to contribute to a big collective effort to turn people out.”As of today half of the eligible population in New Zealand has been fully vaccinated.",Long Sentence
"We’ve seen 85% of Aucklanders and over 80% of New Zealanders have at least one dose of the Pfizer vaccine.“We all have a role to play in getting our vaccination rates up,” Chris Hipkins said.“Our message to the 80% of the eligible population who have had their first dose is this: your job is not done.",Long Sentence
"Please get your second dose, and help us reach those who have not yet come forward to be vaccinated.“We need you to be talking to them about the reasons you’ve been vaccinated, we need you to make sure they are getting reliable, honest information about the vaccine.",Long Sentence
"And we need you to help us to get the unvaccinated vaccinated.“We are asking our business community, our media, and our community groups to play a role too.",Long Sentence
Those that want to offer incentives to the unvaccinated to get them in the door are encouraged to do so.“We want parents and grandparents to encourage young New Zealanders to take up the opportunity to be vaccinated.,Long Sentence
"We also want young people to check in with any older family members who aren’t yet vaccinated, show them where they can find reliable and accurate information online, and help the whole whānau to be protected.“We must leave no stone unturned.",Long Sentence
"No one should be left behind because they haven’t had the support they need to make an informed choice to be vaccinated.”There are currently 350,000 appointments available next week onhttps://bookmyvaccine.covid19.health.nz/.",Long Sentence
Work is being done with District Health Boards now to increase capacity even further.“Our response as a collective nation to the challenges posed by COVID-19 has been world-leading.,Long Sentence
"Now we need a world-leading uptake of vaccination,” Chris Hipkins said.“The next week and a half is critical.",Long Sentence
vaccinated,Passive Voice
been,Passive Voice
vaccinated,Passive Voice
seen,Passive Voice
done,Passive Voice
come,Passive Voice
been,Passive Voice
vaccinated,Passive Voice
unvaccinated,Passive Voice
encouraged,Passive Voice
vaccinated,Passive Voice
vaccinated,Passive Voice
left,Passive Voice
done,Passive Voice
posed,Passive Voice
been,Passive Voice
been,Passive Voice
eligible,Complex Word
population,Complex Word
vaccinated,Complex Word
remaining,Complex Word
Minister,Complex Word
everyone,Complex Word
contribute,Complex Word
nationwide,Complex Word
vaccination,Complex Word
culminate,Complex Word
National,Complex Word
vaccination,Complex Word
Saturday,Complex Word
October,Complex Word
Election,Complex Word
political,Complex Word
contribute,Complex Word
collective,Complex Word
eligible,Complex Word
population,Complex Word
vaccinated,Complex Word
Aucklanders,Complex Word
Zealanders,Complex Word
vaccination,Complex Word
eligible,Complex Word
population,Complex Word
vaccinated.,Complex Word
vaccinated,Complex Word
reliable,Complex Word
information,Complex Word
unvaccinated,Complex Word
vaccinated.,Complex Word
community,Complex Word
media,Complex Word
community,Complex Word
incentives,Complex Word
unvaccinated,Complex Word
encouraged,Complex Word
grandparents,Complex Word
encourage,Complex Word
Zealanders,Complex Word
opportunity,Complex Word
vaccinated,Complex Word
family,Complex Word
vaccinated,Complex Word
reliable,Complex Word
accurate,Complex Word
information,Complex Word
protected.,Complex Word
vaccinated.,Complex Word
currently,Complex Word
appointments,Complex Word
available,Complex Word
//bookmyvaccine.covid19.health.nz/,Complex Word
general,Complex Word
capacity,Complex Word
collective,Complex Word
challenges,Complex Word
vaccination,Complex Word
critical,Complex Word
vaccination,Complex Word
