Text,Metric
"The green light for New Zealand’s first COVID-19 vaccine could be granted in just over a week, Prime Minister Jacinda Ardern said today.“We’re making swift progress towards vaccinating New Zealanders against the virus, but we’re also absolutely committed to ensuring the vaccines are safe and effective,” Jacinda Ardern said.“Medicines regulator Medsafe will seek advice and recommendations from the Medicines Assessment Advisory Committee (MAAC) next Tuesday, about the Pfizer and BioNTech vaccine.“The Ministerial expert advisory committee will review Medsafe’s benefit-risk assessment of the pharmaceutical company’s data and, depending on feedback, Medsafe may be able to grant provisional approval as soon as the following day.“Medsafe’s process not only ensures New Zealanders can feel confident in the vaccines we receive, it’s also been timely and means we will be ready to receive and administer vaccines as soon as Pfizer is in a position to send them.“We’ve always known a safe and effective vaccine is a vital part of our COVID-19 response for our long-term control of the virus.",Long Sentence
"2021 is Year of the Vaccine,” Jacinda Ardern said.COVID-19 Response Minister Chris Hipkins said COVID-19 vaccines will play a critical role in protecting New Zealanders’ health and wellbeing and, over time, will be a big step back to normality.“Our first focus will be vaccinating our border and managed isolation and quarantine workforce and their close contacts.",Long Sentence
"Once the vaccine arrives in New Zealand, we expect to be able to complete vaccinating this group within two to three weeks.“These brave people have been protecting our country from this global pandemic during the past year and protecting them and those who share their households is a priority for us.“That will be the start of New Zealand’s largest ever vaccination campaign.",Long Sentence
"We hope to start vaccinating the wider population mid-year.“If granted, the provisional approval will mean that Medsafe has sufficient information and assurance of both safety and effectiveness for it to allow vaccination to start – though there will be continued monitoring of the vaccine here and overseas.“However, if Medsafe decides next week that some additional assurances are required before it grants approval, I accept their decision and am satisfied that it’s the right decision on behalf of all of us.“It’s vital for New Zealanders to know that Medsafe is undertaking robust assessments of this vaccine and others so that we can be confident they’re safe and effective.",Long Sentence
"It streamlined its approval processes for faster access, but it hasn’t cut any corners along the way.“Safety is paramount and we want to be assured of this and also allow all New Zealanders the same opportunity of protection as other countries,” Chris Hipkins said.Q and AHow long will theMedicines Assessment Advisory Committeetake to make their recommendations?We expect they will make their recommendations and give their advice to Medsafe, which has delegated authority from the Minister, on 2 February.Who is on theMedicines Assessment Advisory Committee?It is an 11-member committee of people from around New Zealand with a broad range of skills, such as biostatistics, infectious diseases, geriatrics, paediatrics, consumer interests, pharmaceutical chemistry and manufacturing, clinical pharmacology, toxicology, clinical genetics, rheumatology and psychiatry.",Long Sentence
"Their identities aren’t public to protect them from external pressure in giving independent, free and frank advice about medicine approvals.Where will the 2 February meeting take place?The members are from around New Zealand so will meet virtually, as is usual practice.",Long Sentence
"Key Medsafe members will also attend.What happens next after MAAC gives their recommendations and advice on 2 February?Medsafe will consider its feedback and may decide to grant provisional consent, which will likely include conditions that require the pharmaceutical company to provide data and information within an agreed timeframe.",Long Sentence
"If the company agrees to any required conditions, Medsafe will formally gazette the decision to approve the vaccine’s provisional consent for use in New Zealand.",Long Sentence
That could happen as quickly as the day after the MAAC meeting.When will the vaccines arrive in New Zealand?We expect the first vaccines will arrive in New Zealand by the end of the first quarter but we are making sure everything is in place in case of an earlier arrival.,Long Sentence
We acknowledge that there is international pressures for Pfizer and BioNTech to prioritise countries that have serious community transmission of COVID-19.,Long Sentence
"As we have seen, timelines are changing often.How has Medsafe streamlined its approval process?We have prioritised the COVID-19 vaccines and allocated assessors for each vaccine candidate.",Long Sentence
We have close communication with the pharmaceutical companies about the timelines for getting their data and we’ve been accepting rolling submissions of data.We received the first set of data from Pfizer last November.,Long Sentence
"After assessing it, we’ve asked them some questions, for which we’ve requested a response in a week.",Long Sentence
"Normally we’d give companies four months to respond.What happens if we choose not to use but Australia does?New Zealand, like Australia, has to make a decision to use that will best support our Immunisation Programme from the portfolio of vaccines that have been purchased.Why are you vaccinating border workers first?We’ve always known that our greatest risk of COVID-19 entering New Zealand is at our border because the virus is rampant in many countries overseas, which is why we’ve put such tight measures in place at our border.Protecting people working at the border and those at greatest risk of COVID-19 protects our entire population.Our sequencing of who we vaccinate first only changes if our situation changes, such as if we have widespread community transmission.How will we safeguard Māori?Under the no/low transmission scenario, the best protection for everyone in New Zealand is to protect those who are most at risk of infection and their household contacts.We are also reviewing the evidence for additional risk faced by Māori and Pacific peoples in relation to infection and transmission, more serious illness and death, and the cultural, social and economic impacts.We will engage with key stakeholders and consider this alongside implementation options to determine the best approach.Where will the first vaccinations of the general public be done?Initial delivery settings are likely to be workplace and some community locations.",Long Sentence
"We are engaging with DHBs on their local plans for the initial scenarios, including the providers they are likely to engage.",Long Sentence
"As more vaccines become available, we will add new settings as we scale through the year.How much will all the doses of vaccinations cost?Cabinet has set aside just under $NZ 1 billion ($NZ 983.7 million) from the COVID-19 Response and Recovery Fund to secure access to COVID-19 vaccines.This will be New Zealand’s largest immunisation roll out ever.",Long Sentence
"We have never before attempted an immunisation programme of this scale, cost or complexity.We’re aiming to vaccinate as many New Zealanders as possible – so that’s potentially 5 million people.Do you have enough vaccinators trained for the rollout?We’re planning for an extra 2,000-3,000 full time (or equivalent) vaccinators who will be trained and available when needed throughout New Zealand.An initial call for expressions of interest has gone out via the COVID-19 surge workforce webpage, and we are working with partners across the health and disability system (including regulatory authorities for the relevant healthcare professions and occupational health providers) to engage additional vaccinator capacity across New Zealand.So far more than 1,100 people have registered their interest in being involved.",Long Sentence
"In addition, more than 1,200 people have been trained as provisional vaccinators, ready to complete the COVID-19 vaccine training once available.The Ministry of Health has contracted the Immunisation Advisory Centre to provide training on COVID-19 vaccines.",Long Sentence
"This training is expected to begin in February — initially for those vaccinators who will deliver the Pfizer vaccine and then for nurses, doctors and pharmacists.",Long Sentence
granted,Passive Voice
committed,Passive Voice
been,Passive Voice
known,Passive Voice
managed,Passive Voice
been,Passive Voice
granted,Passive Voice
continued,Passive Voice
required,Passive Voice
satisfied,Passive Voice
assured,Passive Voice
delegated,Passive Voice
seen,Passive Voice
Medsafe,Passive Voice
prioritised,Passive Voice
been,Passive Voice
requested,Passive Voice
been,Passive Voice
purchased.Why,Passive Voice
known,Passive Voice
faced,Passive Voice
done,Passive Voice
set,Passive Voice
trained,Passive Voice
needed,Passive Voice
gone,Passive Voice
registered,Passive Voice
involved,Passive Voice
been,Passive Voice
trained,Passive Voice
contracted,Passive Voice
expected,Passive Voice
Minister,Complex Word
Jacinda,Complex Word
vaccinating,Complex Word
Zealanders,Complex Word
absolutely,Complex Word
committed,Complex Word
ensuring,Complex Word
effective,Complex Word
Jacinda,Complex Word
Medicines,Complex Word
regulator,Complex Word
recommendations,Complex Word
Medicines,Complex Word
Assessment,Complex Word
Advisory,Complex Word
Committee,Complex Word
Ministerial,Complex Word
advisory,Complex Word
committee,Complex Word
benefit-risk,Complex Word
assessment,Complex Word
pharmaceutical,Complex Word
company,Complex Word
depending,Complex Word
provisional,Complex Word
approval,Complex Word
following,Complex Word
Zealanders,Complex Word
confident,Complex Word
administer,Complex Word
position,Complex Word
effective,Complex Word
Jacinda,Complex Word
Minister,Complex Word
critical,Complex Word
protecting,Complex Word
Zealanders,Complex Word
wellbeing,Complex Word
normality.,Complex Word
vaccinating,Complex Word
isolation,Complex Word
quarantine,Complex Word
vaccinating,Complex Word
protecting,Complex Word
pandemic,Complex Word
protecting,Complex Word
priority,Complex Word
vaccination,Complex Word
important,Complex Word
However,Complex Word
vaccinated,Complex Word
possible,Complex Word
another,Complex Word
vaccinating,Complex Word
population,Complex Word
provisional,Complex Word
approval,Complex Word
sufficient,Complex Word
information,Complex Word
assurance,Complex Word
effectiveness,Complex Word
vaccination,Complex Word
continued,Complex Word
monitoring,Complex Word
However,Complex Word
additional,Complex Word
assurances,Complex Word
required,Complex Word
approval,Complex Word
decision,Complex Word
satisfied,Complex Word
decision,Complex Word
Zealanders,Complex Word
undertaking,Complex Word
assessments,Complex Word
confident,Complex Word
effective,Complex Word
approval,Complex Word
processes,Complex Word
paramount,Complex Word
Zealanders,Complex Word
opportunity,Complex Word
protection,Complex Word
Assessment,Complex Word
Advisory,Complex Word
Committeetake,Complex Word
recommendations,Complex Word
recommendations,Complex Word
delegated,Complex Word
authority,Complex Word
Minister,Complex Word
February.Who,Complex Word
Assessment,Complex Word
Advisory,Complex Word
Committee,Complex Word
committee,Complex Word
biostatistics,Complex Word
infectious,Complex Word
diseases,Complex Word
geriatrics,Complex Word
paediatrics,Complex Word
consumer,Complex Word
interests,Complex Word
pharmaceutical,Complex Word
chemistry,Complex Word
manufacturing,Complex Word
clinical,Complex Word
pharmacology,Complex Word
toxicology,Complex Word
clinical,Complex Word
genetics,Complex Word
rheumatology,Complex Word
psychiatry,Complex Word
identities,Complex Word
external,Complex Word
independent,Complex Word
medicine,Complex Word
approvals.Where,Complex Word
February,Complex Word
virtually,Complex Word
usual,Complex Word
attend.What,Complex Word
recommendations,Complex Word
February,Complex Word
consider,Complex Word
provisional,Complex Word
conditions,Complex Word
require,Complex Word
pharmaceutical,Complex Word
company,Complex Word
information,Complex Word
additional,Complex Word
clinical,Complex Word
manufacturing,Complex Word
available,Complex Word
company,Complex Word
required,Complex Word
conditions,Complex Word
formally,Complex Word
decision,Complex Word
provisional,Complex Word
meeting.When,Complex Word
everything,Complex Word
earlier,Complex Word
arrival,Complex Word
similar,Complex Word
expectations,Complex Word
Australia,Complex Word
acknowledge,Complex Word
international,Complex Word
prioritise,Complex Word
serious,Complex Word
community,Complex Word
transmission,Complex Word
often.How,Complex Word
approval,Complex Word
prioritised,Complex Word
allocated,Complex Word
assessors,Complex Word
candidate,Complex Word
communication,Complex Word
pharmaceutical,Complex Word
companies,Complex Word
accepting,Complex Word
submissions,Complex Word
November,Complex Word
assessing,Complex Word
requested,Complex Word
Normally,Complex Word
companies,Complex Word
respond.What,Complex Word
Australia,Complex Word
Australia,Complex Word
decision,Complex Word
Immunisation,Complex Word
portfolio,Complex Word
purchased.Why,Complex Word
vaccinating,Complex Word
entering,Complex Word
overseas,Complex Word
border.Protecting,Complex Word
entire,Complex Word
population.Our,Complex Word
sequencing,Complex Word
vaccinate,Complex Word
situation,Complex Word
community,Complex Word
transmission.How,Complex Word
transmission,Complex Word
scenario,Complex Word
protection,Complex Word
everyone,Complex Word
infection,Complex Word
reviewing,Complex Word
evidence,Complex Word
additional,Complex Word
Pacific,Complex Word
relation,Complex Word
infection,Complex Word
transmission,Complex Word
serious,Complex Word
cultural,Complex Word
economic,Complex Word
stakeholders,Complex Word
consider,Complex Word
alongside,Complex Word
implementation,Complex Word
determine,Complex Word
approach.Where,Complex Word
vaccinations,Complex Word
general,Complex Word
Initial,Complex Word
delivery,Complex Word
community,Complex Word
locations,Complex Word
engaging,Complex Word
initial,Complex Word
scenarios,Complex Word
including,Complex Word
providers,Complex Word
available,Complex Word
vaccinations,Complex Word
Cabinet,Complex Word
Recovery,Complex Word
immunisation,Complex Word
attempted,Complex Word
immunisation,Complex Word
complexity.We,Complex Word
