Text,Metric
The Government is providing a funding boost to Pacific health providers to assist them with the delivery of the Government’s COVID-19 vaccination campaign in Pacific communities.“Our Pacific providers know and can reach our communities best.,Long Sentence
"This will enable them to vaccinate as many people as they can reach ,” Associate Minister of Health Aupito William Sio says.“These providers are trusted.",Long Sentence
"Theyhave the language skills and cultural intelligence to engage with Pacific communities effectively.They will mobilise vaccination services to make it easy for people to access services, such as holding temporary clinics in our churches, workplaces and where our communities gather.“The second tranche of vaccinations will focus on non-border frontline workers and those living in high-risk settings.",Long Sentence
This includes those in the Counties Manukau DHB district over the age of 65 years or who live with relevant underlying health conditions.“This will also include older members of our Pacific communities who don’t live in residential care facilities.,Long Sentence
"This is important as we know many of our older Pacific peoples live at home supported by their aiga,” Aupito William Sio said.Pacific health providers have the discretion to immunise family members living with older people, disabled people and people with relevant underlying health conditions when they accompany them to the appointment.",Long Sentence
"This will be, however, with consideration to enough vaccine doses being available on site to meet expected demand until new deliveries arrive.There are a range of measures that the Government will implement to ensure equity and support for Pacific Peoples throughout the COVID-19 vaccine programme, including:Investing $10.5 million to support Pacific service delivery options.Investing $4 million to support Pacific providers to deliver COVID-19 vaccines.Investing $750,000 to support additional workforce training and development for Pacific Health providers and vaccinators.Training and support to ensure the cultural competency of the vaccinator workforce.Enabling community-based delivery so that Pacific people can easily access vaccination.Developing accessible information in our nine Pacific languages.Deliver a dedicated social marketing campaign to raise awareness for Pacific communities.“The COVID-19 Immunisation roll-out has a specific focus on encouraging our Pacific communities to get vaccinated.“Throughout the COVID-19 response, the Government has proactively recognised the need to ensure Pacific communities are vaccinated.“The Ministry of Health is working in partnership with the Ministry for Pacific Peoples to deliver a targeted Pacific engagement campaign.",Long Sentence
"This includes communications in our nine Pacific languages and across channels like radio, print media, zoom and face-to-face fono,” says Aupito William Sio.",Long Sentence
trusted,Passive Voice
supported,Passive Voice
recognised,Passive Voice
targeted,Passive Voice
Government,Complex Word
providing,Complex Word
Pacific,Complex Word
providers,Complex Word
delivery,Complex Word
Government,Complex Word
vaccination,Complex Word
Pacific,Complex Word
communities.,Complex Word
Pacific,Complex Word
providers,Complex Word
communities,Complex Word
enable,Complex Word
vaccinate,Complex Word
Associate,Complex Word
Minister,Complex Word
providers,Complex Word
cultural,Complex Word
intelligence,Complex Word
Pacific,Complex Word
communities,Complex Word
effectively.They,Complex Word
vaccination,Complex Word
services,Complex Word
services,Complex Word
temporary,Complex Word
workplaces,Complex Word
communities,Complex Word
vaccinations,Complex Word
non-border,Complex Word
relevant,Complex Word
underlying,Complex Word
conditions.,Complex Word
Pacific,Complex Word
communities,Complex Word
residential,Complex Word
facilities,Complex Word
important,Complex Word
Pacific,Complex Word
supported,Complex Word
said.Pacific,Complex Word
providers,Complex Word
discretion,Complex Word
immunise,Complex Word
family,Complex Word
disabled,Complex Word
relevant,Complex Word
underlying,Complex Word
conditions,Complex Word
accompany,Complex Word
appointment,Complex Word
however,Complex Word
consideration,Complex Word
available,Complex Word
expected,Complex Word
deliveries,Complex Word
arrive.There,Complex Word
Government,Complex Word
implement,Complex Word
equity,Complex Word
Pacific,Complex Word
including,Complex Word
Investing,Complex Word
Pacific,Complex Word
delivery,Complex Word
options.Investing,Complex Word
Pacific,Complex Word
providers,Complex Word
deliver,Complex Word
vaccines.Investing,Complex Word
additional,Complex Word
development,Complex Word
Pacific,Complex Word
providers,Complex Word
vaccinators.Training,Complex Word
cultural,Complex Word
competency,Complex Word
vaccinator,Complex Word
workforce.Enabling,Complex Word
community-based,Complex Word
delivery,Complex Word
Pacific,Complex Word
easily,Complex Word
vaccination.Developing,Complex Word
accessible,Complex Word
information,Complex Word
Pacific,Complex Word
languages.Deliver,Complex Word
dedicated,Complex Word
marketing,Complex Word
awareness,Complex Word
Pacific,Complex Word
communities.,Complex Word
Immunisation,Complex Word
specific,Complex Word
encouraging,Complex Word
Pacific,Complex Word
communities,Complex Word
vaccinated.,Complex Word
Government,Complex Word
proactively,Complex Word
Pacific,Complex Word
communities,Complex Word
vaccinated.,Complex Word
Ministry,Complex Word
partnership,Complex Word
Ministry,Complex Word
Pacific,Complex Word
deliver,Complex Word
targeted,Complex Word
Pacific,Complex Word
engagement,Complex Word
communications,Complex Word
Pacific,Complex Word
languages,Complex Word
radio,Complex Word
media,Complex Word
