Text,Metric
"Foreign Minister Nanaia Mahuta will today begin a suite of meetings with her ASEAN and East Asia Summit counterparts, starting with the 11th East Asia Summit (EAS) Foreign Ministers’ Meeting tonight.",Long Sentence
"That will be followed by the ASEAN-New Zealand Ministerial Meeting on Thursday 5 August and the 28th ASEAN Regional Forum (ARF) on Friday 6 August, which brings in a number of additional partners from across the Indo-Pacific.",Long Sentence
"All the meetings are via videoconference.“These annual meetings are of significant importance to New Zealand as we look to re-engage with the world,” Nanaia Mahuta said.“ASEAN’s ability to bring a range of important players together is critical for finding solutions to a range of regional issues that call for regional solutions.",Long Sentence
"Key among them in 2021 are COVID-19, the need for equitable access to vaccines and how to support an inclusive and sustainable, green economic recovery.“Aotearoa New Zealand’s participation in the East Asia Summit and the ASEAN Regional Forum are important for their focus on the key political, economic and security issues of interest to the eighteen members of the EAS and the twenty seven members of the ARF,” said Nanaia Mahuta.",Long Sentence
"She said that New Zealand’s major policy priorities for these meetings will be the pandemic, Myanmar, and maritime issues.“We want to show solidarity with Indo-Pacific states as we tackle the challenges posed by Covid-19, and I will also be urging action on Myanmar.",Long Sentence
"In addition, the tensions in the South China Sea continue to be a concern for New Zealand as they are for others,” said Nanaia Mahuta.Last year New Zealand celebrated 45 years of relations with the ASEAN bloc.",Long Sentence
The breadth of New Zealand’s cooperation with ASEAN reinforces the importance of partnerships across the region to advance Aotearoa’s strategic interests.,Long Sentence
"The Minister noted that ASEAN has underpinned decades of regional peace and stability to New Zealand’s benefit and the partnership therefore continues to be vital.“ASEAN’s ten member states together comprise New Zealand’s fourth largest trading partner, accounting for 10% of our total goods exports.",Long Sentence
"Economic cooperation with ASEAN extends beyond its value as an export market, as ASEAN will be a key partner for our economic recovery both as a trading partner and an advocate for upholding the multilateral trading system,” Nanaia Mahuta said.ENDS",Long Sentence
followed,Passive Voice
posed,Passive Voice
underpinned,Passive Voice
Minister,Complex Word
ASEAN,Complex Word
counterparts,Complex Word
Ministers,Complex Word
Ministerial,Complex Word
ASEAN,Complex Word
Regional,Complex Word
additional,Complex Word
Indo-Pacific,Complex Word
videoconference.,Complex Word
annual,Complex Word
significant,Complex Word
importance,Complex Word
ASEAN,Complex Word
ability,Complex Word
important,Complex Word
together,Complex Word
critical,Complex Word
solutions,Complex Word
regional,Complex Word
regional,Complex Word
solutions,Complex Word
equitable,Complex Word
inclusive,Complex Word
sustainable,Complex Word
economic,Complex Word
recovery.,Complex Word
participation,Complex Word
ASEAN,Complex Word
Regional,Complex Word
important,Complex Word
political,Complex Word
economic,Complex Word
security,Complex Word
interest,Complex Word
policy,Complex Word
priorities,Complex Word
pandemic,Complex Word
maritime,Complex Word
solidarity,Complex Word
Indo-Pacific,Complex Word
challenges,Complex Word
addition,Complex Word
continue,Complex Word
celebrated,Complex Word
relations,Complex Word
ASEAN,Complex Word
cooperation,Complex Word
ASEAN,Complex Word
reinforces,Complex Word
importance,Complex Word
partnerships,Complex Word
strategic,Complex Word
interests,Complex Word
Minister,Complex Word
ASEAN,Complex Word
underpinned,Complex Word
regional,Complex Word
stability,Complex Word
benefit,Complex Word
partnership,Complex Word
continues,Complex Word
ASEAN,Complex Word
together,Complex Word
accounting,Complex Word
Economic,Complex Word
cooperation,Complex Word
ASEAN,Complex Word
ASEAN,Complex Word
economic,Complex Word
recovery,Complex Word
advocate,Complex Word
upholding,Complex Word
multilateral,Complex Word
