Text,Metric
"Minister of Foreign Affairs Hon Nanaia Mahuta and Hon Aupito William Sio the Associate Minister of Foreign Affairs today attended the virtual Pacific Islands Forum Special Leaders Retreat from Waitangi.During this Retreat, Pacific Leaders  focussed on COVID-19 recovery and response, and in particular equitable and timely access to safe vaccines for the peoples of the Pacific.“The Forum plays a vital role in leading collective action on significant issues that affect us all.",Long Sentence
"The health and well-being of Pacific populations and Pacific economic recovery is of utmost importance to New Zealand,” Nanaia Mahuta said.“We have already earmarked $75 million of Official Development Assistance to support Pacific vaccine access, including purchasing, planning, and delivery.",Long Sentence
"We are working closely with Australia and other Pacific Islands Forum Members, as well as our regional partners, to ensure Pacific countries have the total support required to run successful immunisation campaigns.”Minister Sio said he acknowledged the exceptional work that the Pacific region has collectively done in stamping out, and in many cases eradicating COVID-19.“Today there is no issue more compelling and immediate than equitable access to vaccines for everyone in the Pacific.",Long Sentence
"New Zealand is committed to ensuring everyone in the Pacific has access to a safe and effective vaccine and we will work across the region with Pacific member states, Australia, WHO, UNICEF, ADB and our external partners to make that happen,” Aupito William Sio said.Pacific Leaders will discuss the appointment of the next Secretary General of the Pacific Islands Forum.“I look forward to discussing with fellow leaders the importance of appointing a new Secretary General who can guide our collective response to shared regional issues,” said Nanaia Mahuta.Notes for editors:The Pacific Islands Forum is the region’s premier political and economic policy organisation.",Long Sentence
"Founded in 1971, it has 18 members: Australia, Cook Islands, Federated States of Micronesia, Fiji, French Polynesia, Kiribati, Nauru, New Caledonia, New Zealand, Niue, Palau, Papua New Guinea, Republic of Marshall Islands, Samoa, Solomon Islands, Tonga, Tuvalu, and Vanuatu.",Long Sentence
earmarked,Passive Voice
done,Passive Voice
committed,Passive Voice
shared,Passive Voice
Founded,Passive Voice
Minister,Complex Word
Hon,Complex Word
Hon,Complex Word
Associate,Complex Word
Minister,Complex Word
attended,Complex Word
virtual,Complex Word
Pacific,Complex Word
Waitangi.During,Complex Word
Pacific,Complex Word
recovery,Complex Word
particular,Complex Word
equitable,Complex Word
Pacific.,Complex Word
collective,Complex Word
significant,Complex Word
well-being,Complex Word
Pacific,Complex Word
populations,Complex Word
Pacific,Complex Word
economic,Complex Word
recovery,Complex Word
importance,Complex Word
already,Complex Word
Official,Complex Word
Development,Complex Word
Assistance,Complex Word
Pacific,Complex Word
including,Complex Word
purchasing,Complex Word
delivery,Complex Word
Australia,Complex Word
Pacific,Complex Word
regional,Complex Word
Pacific,Complex Word
required,Complex Word
successful,Complex Word
immunisation,Complex Word
Minister,Complex Word
acknowledged,Complex Word
exceptional,Complex Word
Pacific,Complex Word
collectively,Complex Word
eradicating,Complex Word
compelling,Complex Word
immediate,Complex Word
equitable,Complex Word
everyone,Complex Word
Pacific,Complex Word
committed,Complex Word
ensuring,Complex Word
everyone,Complex Word
Pacific,Complex Word
effective,Complex Word
Pacific,Complex Word
Australia,Complex Word
UNICEF,Complex Word
external,Complex Word
said.Pacific,Complex Word
appointment,Complex Word
Secretary,Complex Word
General,Complex Word
Pacific,Complex Word
discussing,Complex Word
importance,Complex Word
appointing,Complex Word
Secretary,Complex Word
General,Complex Word
collective,Complex Word
regional,Complex Word
editors,Complex Word
Pacific,Complex Word
political,Complex Word
economic,Complex Word
policy,Complex Word
organisation,Complex Word
Australia,Complex Word
Federated,Complex Word
Micronesia,Complex Word
Polynesia,Complex Word
Kiribati,Complex Word
Caledonia,Complex Word
Papua,Complex Word
Republic,Complex Word
Samoa,Complex Word
Solomon,Complex Word
Vanuatu,Complex Word
