Text,Metric
"The Labour Government has announced a new mental wellbeing package for Aucklanders experiencing mental distress to get support when they need it.“The ongoing COVID-19 disruptions has meant Auckland has had to endure weeks of uncertainty and stress, while largely being confined to their homes,” Health Minister Andrew Little said.“This $5.6-million funding package provides extra resource to Auckland District Health Boards for mental health and addiction services, funding for the Mental Health Foundation’s targeted mental health promotion campaign, and enhanced peer support through telehealth services.“There will also be access to online parenting support packages through the Positive Parenting Programme (Triple P programme), including the Fear-Less programme, specifically designed to help children and young people get on top of anxiety.”Andrew Little said.“While there has been a strong focus on the vaccine rollout, there has also been a lot of work like this underway to address the mental wellbeing of New Zealanders during the pandemic.“This investment followsearlier announcementsmade by this government in response to Delta to support mental resilience for those in the Auckland region, building on the wider Budget 19 Access and Choice programme.“School, work, study and normal life has been disrupted.",Long Sentence
"Connecting with friends and family has been difficult and that can have a very real effect on wellbeing,” Andrew Little said.“So Auckland can continue to do its part to protect the team of five million this Government wants to ensure when they ask for support, it’s there when they need it.”The $5.6m is made up of existing Vote Health funds and the COVID-19 Response and Recovery Fund.ENDS",Long Sentence
announced,Passive Voice
meant,Passive Voice
had,Passive Voice
confined,Passive Voice
designed,Passive Voice
been,Passive Voice
been,Passive Voice
announcementsmade,Passive Voice
been,Passive Voice
disrupted,Passive Voice
been,Passive Voice
made,Passive Voice
Government,Complex Word
wellbeing,Complex Word
Aucklanders,Complex Word
experiencing,Complex Word
ongoing,Complex Word
disruptions,Complex Word
uncertainty,Complex Word
Minister,Complex Word
addiction,Complex Word
services,Complex Word
Foundation,Complex Word
targeted,Complex Word
promotion,Complex Word
parenting,Complex Word
packages,Complex Word
Positive,Complex Word
Parenting,Complex Word
including,Complex Word
specifically,Complex Word
anxiety.,Complex Word
underway,Complex Word
wellbeing,Complex Word
Zealanders,Complex Word
pandemic.,Complex Word
investment,Complex Word
followsearlier,Complex Word
announcementsmade,Complex Word
government,Complex Word
resilience,Complex Word
disrupted,Complex Word
Connecting,Complex Word
family,Complex Word
difficult,Complex Word
wellbeing,Complex Word
continue,Complex Word
Government,Complex Word
existing,Complex Word
Recovery,Complex Word
