Text,Metric
"New Zealand is donating further vaccines to COVAX and has commenced roll-out of Pfizer’s paediatric COVID vaccine in Polynesia, Foreign Affairs Minister Nanaia Mahuta and Associate Health Minister Aupito William Sio announced today.“Widespread vaccination saves lives.",Long Sentence
It is critical to reducing the risk of new variants emerging and setting us all on a path to recovery.,Long Sentence
"Aotearoa New Zealand is committed to ensuring developing countries have access to the vaccines they need to protect against COVID-19,” Nanaia Mahuta said.New Zealand is contributing a further 7.3 million vaccines to COVAX including 5.8 million doses of AstraZeneca vaccine and 1.5 million doses of Janssen vaccine.",Long Sentence
"This brings the total volume of New Zealand vaccine donations to COVAX to 9.7 million doses.“Our latest, fully-funded dose donation to COVAX will also support vaccination programmes in developing countries, including in parts of the Pacific and in Africa where immunisation rates are low,” Nanaia Mahuta said.This donation is supported by a grant contribution of $5.1 million to cover the cost of safe injection equipment and other ancillary costs.",Long Sentence
COVAX will allocate the doses to developing countries and deliveries will commence later this month.These donations are additional to a total of $26 million in funding contributions made to the COVAX Advance Market Commitment over the last two years.“COVAX is doing vital work to ensure COVID-19 vaccines are readily available for all.,Long Sentence
"Aotearoa New Zealand was an early donor to COVAX and we remain strongly supportive of their important work,” Nanaia Mahuta said.Through New Zealand’s Advance Purchase Agreement (APA) with Pfizer, paediatric vaccine doses are also being provided to countries in Polynesia.",Long Sentence
"The roll out of these doses has already commenced in Niue and the Cook Islands and planning is underway for donations to Samoa, Tonga and Tokelau.“We must do all we can to increase vaccine uptake everywhere, and Aotearoa New Zealand is playing its part.",Long Sentence
"Our support for roll-out of paediatric vaccines in Polynesia is part of our ongoing commitment to ensuring our Pacific whānau have access to the vaccines they need,” Aupito William Sio said.New Zealand has also already provided over 200,000 Pfizer doses from our APA to Cook Islands, Tokelau, Niue, Samoa, Tonga and Fiji, in addition to the support announcedtoday.",Long Sentence
commenced,Passive Voice
committed,Passive Voice
supported,Passive Voice
made,Passive Voice
provided,Passive Voice
commenced,Passive Voice
provided,Passive Voice
donating,Complex Word
COVAX,Complex Word
paediatric,Complex Word
Polynesia,Complex Word
Minister,Complex Word
Associate,Complex Word
Minister,Complex Word
vaccination,Complex Word
critical,Complex Word
reducing,Complex Word
variants,Complex Word
emerging,Complex Word
recovery,Complex Word
committed,Complex Word
ensuring,Complex Word
developing,Complex Word
contributing,Complex Word
COVAX,Complex Word
including,Complex Word
donations,Complex Word
COVAX,Complex Word
fully-funded,Complex Word
donation,Complex Word
COVAX,Complex Word
vaccination,Complex Word
developing,Complex Word
including,Complex Word
Pacific,Complex Word
Africa,Complex Word
immunisation,Complex Word
donation,Complex Word
supported,Complex Word
contribution,Complex Word
injection,Complex Word
equipment,Complex Word
ancillary,Complex Word
COVAX,Complex Word
allocate,Complex Word
developing,Complex Word
deliveries,Complex Word
donations,Complex Word
additional,Complex Word
contributions,Complex Word
COVAX,Complex Word
Commitment,Complex Word
COVAX,Complex Word
readily,Complex Word
available,Complex Word
COVAX,Complex Word
supportive,Complex Word
important,Complex Word
Agreement,Complex Word
paediatric,Complex Word
provided,Complex Word
Polynesia,Complex Word
already,Complex Word
underway,Complex Word
donations,Complex Word
Samoa,Complex Word
everywhere,Complex Word
paediatric,Complex Word
Polynesia,Complex Word
ongoing,Complex Word
commitment,Complex Word
ensuring,Complex Word
Pacific,Complex Word
already,Complex Word
provided,Complex Word
Samoa,Complex Word
addition,Complex Word
announcedtoday,Complex Word
