Text,Metric
"Foreign Affairs Minister Nanaia Mahuta and Associate Health Minister Aupito William Sio today announced New Zealand will donate further Pfizer vaccines to Fiji, to support paediatric vaccinations.“New Zealand is donating 50,000 paediatric doses of the Pfizer vaccine and 50,000 Rapid Antigen Tests to support Fiji vaccinationand testingefforts,” Nanaia Mahuta said.“These doses will enable Fiji to provide a layer of assurance against COVID-19 for its young population.",Long Sentence
"We are proud to support the Government of Fiji as they roll-out their paediatric vaccination campaign for 5- to 11-year-olds and provide a much needed area of support to strengthen Fiji’s overall health response.“This donation also reaffirms New Zealand’s commitment to the Duavata Partnership with Fiji, signed in Suva this week, and ongoing support to vaccination efforts in the Pacific,” Nanaia Mahuta said.“Over the past two years COVID-19 has had profound health, economic and social impacts on our Pacific whanaunga,” Aupito William Sio said.“Fiji has been highly successful in implementing their COVID-19 vaccination plan and this contribution builds on our earlier support.“New Zealand has been proactive in assisting our Pacific neighbours, including Fiji, and our cooperative COVID-19 response has highlighted what we can achieve together as open and collaborative partners,” Aupito William Sio said.Today’s contribution adds to a package of over $100 million that New Zealand has contributed in emergency budget support and humanitarian assistance to respond to the health, economic and social impacts of COVID-19 in Fiji.",Long Sentence
needed,Passive Voice
had,Passive Voice
profound,Passive Voice
been,Passive Voice
been,Passive Voice
highlighted,Passive Voice
contributed,Passive Voice
Minister,Complex Word
Associate,Complex Word
Minister,Complex Word
paediatric,Complex Word
vaccinations.,Complex Word
donating,Complex Word
paediatric,Complex Word
Antigen,Complex Word
vaccinationand,Complex Word
testingefforts,Complex Word
enable,Complex Word
assurance,Complex Word
population,Complex Word
Government,Complex Word
paediatric,Complex Word
vaccination,Complex Word
area,Complex Word
overall,Complex Word
donation,Complex Word
reaffirms,Complex Word
commitment,Complex Word
Duavata,Complex Word
Partnership,Complex Word
ongoing,Complex Word
vaccination,Complex Word
Pacific,Complex Word
economic,Complex Word
Pacific,Complex Word
successful,Complex Word
implementing,Complex Word
vaccination,Complex Word
contribution,Complex Word
earlier,Complex Word
proactive,Complex Word
assisting,Complex Word
Pacific,Complex Word
including,Complex Word
cooperative,Complex Word
highlighted,Complex Word
together,Complex Word
collaborative,Complex Word
said.Today,Complex Word
contribution,Complex Word
contributed,Complex Word
emergency,Complex Word
humanitarian,Complex Word
assistance,Complex Word
economic,Complex Word
