Text,Metric
"New Zealand to remain at Orange as case numbers start to creep up50 child-size masks made available to every year 4-7 student in New Zealand20,000-30,000 masks provided a week to all other students and school staffExtra funding to schools and early childhood services to supports better ventilation over the winter monthsFree flu vaccine made available to all children aged 3-12 years oldReinfection advice amended.",Long Sentence
"Anyone who experiences symptoms 29 days or longer after previous infection should test and will need to isolate if they test positive.The Government is taking action to help reduce the spread of COVID-19 in schools and early childhood services, COVID-19 Response Minster Dr Ayesha Verrall and Associate Education Minister Jan Tinetti announced today.The country will remain at the Orange traffic light setting, with cases and hospitalisations remaining much lower than the peaks experienced earlier in the year.",Long Sentence
But with hospitals under pressure from flu and COVID and numbers starting to creep up again a suite of additional measures are being put in place to help reduce spread.“Moving back to Red is unnecessary at the moment.,Long Sentence
"We can continue to manage the virus at Orange, but are putting in place a range of additional measures to help manage a recent rise in cases,” Dr Ayesha Verrall said.“Yesterday the seven-day rolling average of COVID-19 cases was 5,808 and there were 395 people in hospital and 8 in ICU.",Long Sentence
"For comparison when we moved out of red in April the rolling average of cases was nearly 10,000 a day and there were over 500 people in hospital including 28 in ICU.“However cases are ticking up and our health system is under pressure so we are putting in place a range of additional measures to help manage the virus over the coming winter months.“The first thing we have already announced is the extension of the free flu vaccine to all children aged 3-12 and the provision of a second COVID-19 booster for everyone over the age of 50.“Getting vaccinated is the number one thing New Zealanders can do to help relieve pressure on our health system this winter.",Long Sentence
We are seeing an overrepresentation of unvaccinated people in hospital admissions so we strongly urge everyone to make sure they are up to date with their vaccines.“We are also updating our advice around reinfection and are now asking anyone experiencing COVID-19 symptoms 29 days or longer following their initial infection to test.,Long Sentence
"Should they test positive they will need to isolate for 7 days.“This is a change from earlier advice which was that people would not need to re-test if they had tested positive for COVID-19 within the past 90 days and is based on the latest international evidence and the need to isolate quickly people with reinfections.“However household contacts who have had COVID-19 within 90 days won’t need to isolate, unless they are symptomatic.",Long Sentence
There is clear updated advice on what they should do to reduce risks to themselves and others.“While reinfections are low at the moment they are likely to increase.,Long Sentence
"The B.5 variant of Omicron is predicted to become the dominant strain in the country in the coming weeks and is a different variant to what most New Zealanders caught the first time around.“With these measures, alongside additional support in schoolsand early childhood services, the Government is stepping up our response to help reduce the spread of COVID.",Long Sentence
"We always said this was going to be a challenging winter and we need everyone to play their part to help us get through safely,” Dr Ayesha Verrall said.The Government is also providing a range of measures to help schools reduce the risk of winter illness spreading.“The Ministry of Education has already secured a supply of 10 million special child-sized masks and intends to have them ready for distribution at the start of Term 3,” Jan Tinetti said.“This means there will be 50 child size masks provided for every child in years 4 to 7 in schools and Kura throughout the country from now until the end of the 2022.“This is in addition to the adult sized mask offered to all school children from year 8 and up.",Long Sentence
