Text,Metric
The Ministry for Ethnic Communities marked its first anniversary on 1 July 2022 and celebrated a successful 12 months of influencing government policy and lifting wellbeing outcomes for ethnic communities.“The creation of the Ministry means ethnic communities finally have a Chief Executive whose sole focus is representing their concerns and aspirations at the top tables of the public service.,Long Sentence
"This brings the voices of these diverse communities and their lived experiences to the fore of decision making processes,” says Minister for Diversity, Inclusion and Ethnic Communities Priyanca Radhakrishnan.“Led by Chief Executive Mervin Singham, the Ministry has focused on areas that ethnic communities told us were important.",Long Sentence
"These include employment, government services that are responsive to the needs of ethnic communities, financial support for community initiatives and the response to COVID-19.‘The Ministry established a Graduate Programme that has placed skilled graduates from ethniccommunities in policy roles across government agencies.",Long Sentence
This has provided them with a meaningful first employment opportunity and enhanced diversity in policy making and the design of government services.“I am committed to improving ethnic representation on public sector boards.,Long Sentence
"The Ministry’s Nominations Service maintains a database of qualified, ethnically diverse people who are seeking an appointment to a public sector board.",Long Sentence
"The Ministry is now working with other partners such as the Super Diversity Institute and Leadership NZ to expand this pool of ethnic nominees and help us create a sustainable pipeline of diverse governance candidates for appointment to state sector boards.“Following a substantial increase in funding, in the year to date, the Ethnic Communities Development Fund disbursed $4.2 million in support of 310 community projects and initiatives that helped celebrate different cultures and strengthened social cohesion.“The Ministry’s work to support the government’s response to COVID-19 included working with the Ministry of Health to implement a vaccine roll out for and led by ethnic communities.",Long Sentence
"This included supporting communities with translated material, running a series of community hui and commissioning a media campaign in ten languages.",Long Sentence
"In addition, the Ministry administered $4 million in funding for community initiatives to support efforts to increase vaccination within their communities.“The Ministry has had a successful first year and this is just the beginning.",Long Sentence
"This Government wants to create a more cohesive Aotearoa New Zealand where everyone feels safe, valued, heard and can participate fully,” says Priyanca Radhakrishnan.“The work of the Ministry will help take us there.”",Long Sentence
focused,Passive Voice
placed,Passive Voice
skilled,Passive Voice
provided,Passive Voice
committed,Passive Voice
strengthened,Passive Voice
led,Passive Voice
valued,Passive Voice
Ministry,Complex Word
Communities,Complex Word
anniversary,Complex Word
celebrated,Complex Word
successful,Complex Word
influencing,Complex Word
government,Complex Word
policy,Complex Word
wellbeing,Complex Word
communities.,Complex Word
creation,Complex Word
Ministry,Complex Word
communities,Complex Word
finally,Complex Word
Executive,Complex Word
representing,Complex Word
aspirations,Complex Word
communities,Complex Word
experiences,Complex Word
decision,Complex Word
processes,Complex Word
Minister,Complex Word
Diversity,Complex Word
Inclusion,Complex Word
Communities,Complex Word
Radhakrishnan.,Complex Word
Executive,Complex Word
Ministry,Complex Word
areas,Complex Word
communities,Complex Word
important,Complex Word
employment,Complex Word
government,Complex Word
services,Complex Word
responsive,Complex Word
communities,Complex Word
financial,Complex Word
community,Complex Word
initiatives,Complex Word
Ministry,Complex Word
established,Complex Word
Graduate,Complex Word
graduates,Complex Word
ethniccommunities,Complex Word
policy,Complex Word
government,Complex Word
agencies,Complex Word
provided,Complex Word
meaningful,Complex Word
employment,Complex Word
opportunity,Complex Word
diversity,Complex Word
policy,Complex Word
government,Complex Word
committed,Complex Word
improving,Complex Word
representation,Complex Word
Ministry,Complex Word
Nominations,Complex Word
database,Complex Word
qualified,Complex Word
ethnically,Complex Word
appointment,Complex Word
Ministry,Complex Word
Diversity,Complex Word
Institute,Complex Word
Leadership,Complex Word
nominees,Complex Word
sustainable,Complex Word
governance,Complex Word
candidates,Complex Word
appointment,Complex Word
Following,Complex Word
substantial,Complex Word
Communities,Complex Word
Development,Complex Word
community,Complex Word
initiatives,Complex Word
celebrate,Complex Word
different,Complex Word
cohesion.,Complex Word
Ministry,Complex Word
government,Complex Word
included,Complex Word
Ministry,Complex Word
implement,Complex Word
communities,Complex Word
included,Complex Word
supporting,Complex Word
communities,Complex Word
translated,Complex Word
material,Complex Word
community,Complex Word
commissioning,Complex Word
media,Complex Word
languages,Complex Word
addition,Complex Word
Ministry,Complex Word
administered,Complex Word
community,Complex Word
initiatives,Complex Word
vaccination,Complex Word
communities.,Complex Word
Ministry,Complex Word
successful,Complex Word
beginning,Complex Word
Government,Complex Word
cohesive,Complex Word
everyone,Complex Word
participate,Complex Word
Radhakrishnan.,Complex Word
Ministry,Complex Word
