Text,Metric
"Updated pass can be downloaded from 24 May for people 12 and overPeople encouraged to stay up to date with COVID-19 vaccinationsBoosters included in up-to-date My Vaccine Pass for those 18 and overNew Zealanders who are up-to-date with their COVID-19 vaccinations will be able to download an updated My Vaccine Pass from 24 May, COVID-19 Response Minister Chris Hipkins said today.“Since the introduction of My Vaccine Pass last year, the COVID-19 vaccination landscape has changed.",Long Sentence
"While My Vaccine Pass is not legally required, people are encouraged to have their pass for when it might be needed,” Chris Hipkins said.Updated My Vaccine Passes will be available for anyone aged 12 and over who is up to date with their vaccinations for their age group and for the type of vaccine they have received, and this includes boosters for those over 18.“In early April 2022 the legal requirement for businesses to use My Vaccine Passes was removed.",Long Sentence
"Some businesses may be voluntarily keeping My Vaccine Pass requirements as a condition of entry.“For this reason, it is a good idea to have an up-to-date My Vaccine Pass handy in case you are asked for it.",Long Sentence
"I encourage everyone to stay up-to-date with their vaccinations and download their updated pass as it’s an important record of their vaccination status.“We’ve learnt over the last couple of years there are no certainties with COVID-19 and with new variants circling the globe, it’s best we’re prepared for every eventuality,” Chris Hipkins said.An updated My Vaccine Passes will have an expiry date six months from the date of issue.",Long Sentence
"The pass can be requested at any time provided people continue to be up-to-date with their COVID-19 vaccinations.The updated My Vaccine Pass will have a slightly different look to the current version and a refreshed design, but it will still have a QR code.Anyone aged 12 and over can get a My Vaccine Pass if they have had their recommended COVID-19 vaccinations.5 to 11-year-oldsNot available for this age group12 to 17-year-oldsTwo primary doses18 years and overTwo primary doses, plus a booster",Long Sentence
Updated,Passive Voice
downloaded,Passive Voice
changed,Passive Voice
required,Passive Voice
encouraged,Passive Voice
needed,Passive Voice
received,Passive Voice
removed,Passive Voice
asked,Passive Voice
prepared,Passive Voice
requested,Passive Voice
provided,Passive Voice
Updated,Complex Word
downloaded,Complex Word
overPeople,Complex Word
encouraged,Complex Word
vaccinationsBoosters,Complex Word
included,Complex Word
up-to-date,Complex Word
Zealanders,Complex Word
up-to-date,Complex Word
vaccinations,Complex Word
updated,Complex Word
Minister,Complex Word
introduction,Complex Word
vaccination,Complex Word
legally,Complex Word
required,Complex Word
encouraged,Complex Word
said.Updated,Complex Word
available,Complex Word
anyone,Complex Word
vaccinations,Complex Word
requirement,Complex Word
businesses,Complex Word
businesses,Complex Word
voluntarily,Complex Word
requirements,Complex Word
condition,Complex Word
idea,Complex Word
up-to-date,Complex Word
encourage,Complex Word
everyone,Complex Word
up-to-date,Complex Word
vaccinations,Complex Word
updated,Complex Word
important,Complex Word
vaccination,Complex Word
certainties,Complex Word
variants,Complex Word
circling,Complex Word
every,Complex Word
eventuality,Complex Word
updated,Complex Word
expiry,Complex Word
requested,Complex Word
provided,Complex Word
continue,Complex Word
up-to-date,Complex Word
vaccinations.The,Complex Word
updated,Complex Word
different,Complex Word
recommended,Complex Word
vaccinations.5,Complex Word
available,Complex Word
primary,Complex Word
primary,Complex Word
