Entity	Date	Vaccinations
Afghanistan	27/05/2021	2859
Afghanistan	03/06/2021	4015
Afghanistan	27/01/2022	6868
Afghanistan	27/04/2022	383
Afghanistan	12/09/2022	9447
Afghanistan	02/11/2022	36587
Afghanistan	16/11/2022	14800
Afghanistan	25/04/2023	3316
Africa	02/12/2020	0
Africa	03/12/2020	0
Africa	04/12/2020	0
Africa	05/12/2020	0
Africa	06/12/2020	0
Africa	07/12/2020	0
Africa	08/12/2020	0
Africa	09/12/2020	0
Africa	10/12/2020	0
Africa	11/12/2020	0
Africa	12/12/2020	0
Africa	13/12/2020	0
Africa	14/12/2020	0
Africa	15/12/2020	0
Africa	16/12/2020	0
Africa	17/12/2020	0
Africa	18/12/2020	0
Africa	19/12/2020	0
Africa	20/12/2020	0
Africa	21/12/2020	0
Africa	22/12/2020	0
Africa	23/12/2020	0
Africa	24/12/2020	0
Africa	25/12/2020	0
Africa	26/12/2020	0
Africa	27/12/2020	0
Africa	28/12/2020	0
Africa	29/12/2020	0
Africa	30/12/2020	0
Africa	31/12/2020	0
Africa	01/01/2021	0
Africa	02/01/2021	0
Africa	03/01/2021	0
Africa	04/01/2021	0
Africa	05/01/2021	0
Africa	06/01/2021	0
Africa	07/01/2021	0
Africa	08/01/2021	0
Africa	09/01/2021	0
Africa	10/01/2021	500
Africa	11/01/2021	500
Africa	12/01/2021	500
Africa	13/01/2021	500
Africa	14/01/2021	1000
Africa	15/01/2021	1000
Africa	16/01/2021	3000
Africa	17/01/2021	1325.3334
Africa	18/01/2021	1325.3334
Africa	19/01/2021	1325.3334
Africa	20/01/2021	2187
Africa	21/01/2021	1863.5
Africa	22/01/2021	1863.5
Africa	23/01/2021	1463
Africa	24/01/2021	768
Africa	25/01/2021	987.1667
Africa	26/01/2021	3071.738
Africa	27/01/2021	3123.738
Africa	28/01/2021	3440.738
Africa	29/01/2021	47330.74
Africa	30/01/2021	46684.74
Africa	31/01/2021	44098.695
Africa	01/02/2021	82179.695
Africa	02/02/2021	65305.375
Africa	03/02/2021	58805.375
Africa	04/02/2021	50984.707
Africa	05/02/2021	64171.707
Africa	06/02/2021	63390.707
Africa	07/02/2021	51316.375
Africa	08/02/2021	51316.375
Africa	09/02/2021	74726.375
Africa	10/02/2021	141538.38
Africa	11/02/2021	119925.375
Africa	12/02/2021	265830.88
Africa	13/02/2021	285481.88
Africa	14/02/2021	167375.88
Africa	15/02/2021	167375.88
Africa	16/02/2021	209955.16
Africa	17/02/2021	190469.16
Africa	18/02/2021	169325.19
Africa	19/02/2021	149640.19
Africa	20/02/2021	136385.33
Africa	21/02/2021	95673.32
Africa	22/02/2021	101546.82
Africa	23/02/2021	137374.83
Africa	24/02/2021	332461.3
Africa	25/02/2021	313843.3
Africa	26/02/2021	277596.3
Africa	27/02/2021	219342.33
Africa	28/02/2021	142717.33
Africa	01/03/2021	148404.33
Africa	02/03/2021	224247.34
Africa	03/03/2021	233985.34
Africa	04/03/2021	208947.34
Africa	05/03/2021	227943.53
Africa	06/03/2021	263867.75
Africa	07/03/2021	162401.66
Africa	08/03/2021	144364.5
Africa	09/03/2021	232746.92
Africa	10/03/2021	331748.97
Africa	11/03/2021	274066.75
Africa	12/03/2021	395013.5
Africa	13/03/2021	379899.16
Africa	14/03/2021	224939.77
Africa	15/03/2021	278753.94
Africa	16/03/2021	319415.12
Africa	17/03/2021	276357.12
Africa	18/03/2021	242601.97
Africa	19/03/2021	248449.17
Africa	20/03/2021	196667.17
Africa	21/03/2021	163217.17
Africa	22/03/2021	162934.67
Africa	23/03/2021	216929.4
Africa	24/03/2021	450140.7
Africa	25/03/2021	419073.7
Africa	26/03/2021	365014.03
Africa	27/03/2021	290997.9
Africa	28/03/2021	244175.95
Africa	29/03/2021	256019.78
Africa	30/03/2021	337855.62
Africa	31/03/2021	338073.97
Africa	01/04/2021	356489.53
Africa	02/04/2021	258209.94
Africa	03/04/2021	236712.12
Africa	04/04/2021	211545.86
Africa	05/04/2021	209615.77
Africa	06/04/2021	277641.25
Africa	07/04/2021	288316.78
Africa	08/04/2021	346379.53
Africa	09/04/2021	284251.7
Africa	10/04/2021	280388.75
Africa	11/04/2021	227666.33
Africa	12/04/2021	247341.33
Africa	13/04/2021	253143.36
Africa	14/04/2021	287735.62
Africa	15/04/2021	273199.22
Africa	16/04/2021	294535.53
Africa	17/04/2021	284749.6
Africa	18/04/2021	218146.08
Africa	19/04/2021	223782.69
Africa	20/04/2021	242221.16
Africa	21/04/2021	265582.22
Africa	22/04/2021	230605.72
Africa	23/04/2021	228435.84
Africa	24/04/2021	217051.73
Africa	25/04/2021	207257.33
Africa	26/04/2021	216141.1
Africa	27/04/2021	319880.25
Africa	28/04/2021	422551.25
Africa	29/04/2021	268836.72
Africa	30/04/2021	224178.98
Africa	01/05/2021	206185.44
Africa	02/05/2021	207571.95
Africa	03/05/2021	248962.61
Africa	04/05/2021	415276.84
Africa	05/05/2021	362291.84
Africa	06/05/2021	325177.78
Africa	07/05/2021	650779.8
Africa	08/05/2021	311412.22
Africa	09/05/2021	343943.5
Africa	10/05/2021	345352.6
Africa	11/05/2021	470659.6
Africa	12/05/2021	401216.3
Africa	13/05/2021	284891.7
Africa	14/05/2021	274146.34
Africa	15/05/2021	456097.38
Africa	16/05/2021	408324.44
Africa	17/05/2021	434799.34
Africa	18/05/2021	654067
Africa	19/05/2021	732990.9
Africa	20/05/2021	666409.2
Africa	21/05/2021	653142.5
Africa	22/05/2021	471062.4
Africa	23/05/2021	431778.78
Africa	24/05/2021	482092.78
Africa	25/05/2021	854525.8
Africa	26/05/2021	624137
Africa	27/05/2021	644840.7
Africa	28/05/2021	604702.7
Africa	29/05/2021	523919.66
Africa	30/05/2021	498994.34
Africa	31/05/2021	551753.2
Africa	01/06/2021	617778.25
Africa	02/06/2021	625441.25
Africa	03/06/2021	702204.3
Africa	04/06/2021	441368.88
Africa	05/06/2021	362062.78
Africa	06/06/2021	469932.38
Africa	07/06/2021	541922.4
Africa	08/06/2021	828274.4
Africa	09/06/2021	714788.75
Africa	10/06/2021	641174.1
Africa	11/06/2021	598310.3
Africa	12/06/2021	357926.84
Africa	13/06/2021	492600.12
Africa	14/06/2021	552428.1
Africa	15/06/2021	606088.3
Africa	16/06/2021	473541.12
Africa	17/06/2021	612001.4
Africa	18/06/2021	556965.56
Africa	19/06/2021	368187.88
Africa	20/06/2021	601695.06
Africa	21/06/2021	614387.8
Africa	22/06/2021	551744.5
Africa	23/06/2021	530570
Africa	24/06/2021	566475.4
Africa	25/06/2021	582955
Africa	26/06/2021	366835.16
Africa	27/06/2021	479108.94
Africa	28/06/2021	401241.94
Africa	29/06/2021	560539.2
Africa	30/06/2021	612625.94
Africa	01/07/2021	553028.1
Africa	02/07/2021	437728.1
Africa	03/07/2021	375030.94
Africa	04/07/2021	410877.78
Africa	05/07/2021	490615.28
Africa	06/07/2021	462431.28
Africa	07/07/2021	557714.56
Africa	08/07/2021	537233.1
Africa	09/07/2021	560891.25
Africa	10/07/2021	364390.4
Africa	11/07/2021	408339.1
Africa	12/07/2021	718812
Africa	13/07/2021	722490.94
Africa	14/07/2021	778767.2
Africa	15/07/2021	1066775.5
Africa	16/07/2021	316408.44
Africa	17/07/2021	313128.12
Africa	18/07/2021	261409.2
Africa	19/07/2021	743016.6
Africa	20/07/2021	564460.06
Africa	21/07/2021	680304.25
Africa	22/07/2021	713790.56
Africa	23/07/2021	542756.1
Africa	24/07/2021	294622.53
Africa	25/07/2021	322723.2
Africa	26/07/2021	903333.94
Africa	27/07/2021	1076963.4
Africa	28/07/2021	1152583.6
Africa	29/07/2021	1147329.4
Africa	30/07/2021	665771.94
Africa	31/07/2021	502558.84
Africa	01/08/2021	424122.84
Africa	02/08/2021	728698.1
Africa	03/08/2021	1794088.9
Africa	04/08/2021	846319
Africa	05/08/2021	817351.9
Africa	06/08/2021	882037.5
Africa	07/08/2021	656428.44
Africa	08/08/2021	604332.4
Africa	09/08/2021	1075179.9
Africa	10/08/2021	696752.44
Africa	11/08/2021	1194162.1
Africa	12/08/2021	1308668.2
Africa	13/08/2021	898135.56
Africa	14/08/2021	637606.75
Africa	15/08/2021	853545.25
Africa	16/08/2021	1392167.6
Africa	17/08/2021	1596911.6
Africa	18/08/2021	1553157.6
Africa	19/08/2021	1589719.4
Africa	20/08/2021	1178244.5
Africa	21/08/2021	1187034.2
Africa	22/08/2021	925074.7
Africa	23/08/2021	1675301.5
Africa	24/08/2021	1859814.5
Africa	25/08/2021	1720745.2
Africa	26/08/2021	1791419.2
Africa	27/08/2021	1814661
Africa	28/08/2021	1068037.4
Africa	29/08/2021	1815310.4
Africa	30/08/2021	1354318.5
Africa	31/08/2021	1481548.8
Africa	01/09/2021	1581446.1
Africa	02/09/2021	1485057.8
Africa	03/09/2021	1285779.9
Africa	04/09/2021	1605813.2
Africa	05/09/2021	1122067.9
Africa	06/09/2021	1953504.9
Africa	07/09/2021	1081463.2
Africa	08/09/2021	1108468.6
Africa	09/09/2021	1527303.8
Africa	10/09/2021	2088571.4
Africa	11/09/2021	2047812.4
Africa	12/09/2021	1396606.2
Africa	13/09/2021	1277211.4
Africa	14/09/2021	1349196
Africa	15/09/2021	1171886.8
