Date	Vaccinations
14/12/2020	4848
15/12/2020	47885
16/12/2020	160151
17/12/2020	275238
18/12/2020	421048
19/12/2020	184213
20/12/2020	107199
21/12/2020	387101
22/12/2020	451272
23/12/2020	578305
24/12/2020	197901
25/12/2020	12843
26/12/2020	143534
27/12/2020	96869
28/12/2020	597529
29/12/2020	729136
30/12/2020	848917
31/12/2020	426703
01/01/2021	137862
02/01/2021	268950
03/01/2021	141399
04/01/2021	665706
05/01/2021	840779
06/01/2021	1030603
07/01/2021	1177715
08/01/2021	1244741
09/01/2021	512629
10/01/2021	253088
11/01/2021	1079145
12/01/2021	1265924
13/01/2021	1334854
14/01/2021	1325745
15/01/2021	1268589
16/01/2021	651783
17/01/2021	302512
18/01/2021	891805
19/01/2021	1353803
20/01/2021	1615237
21/01/2021	1647635
22/01/2021	1646871
23/01/2021	913376
24/01/2021	403869
25/01/2021	1384839
26/01/2021	1670866
27/01/2021	1938126
28/01/2021	1970489
29/01/2021	1925120
30/01/2021	1022132
31/01/2021	463792
01/02/2021	1418713
02/02/2021	1712809
03/02/2021	2153875
04/02/2021	2356981
05/02/2021	2367879
06/02/2021	1307249
07/02/2021	443492
08/02/2021	1587115
09/02/2021	1981949
10/02/2021	2318275
11/02/2021	2421414
12/02/2021	2605164
13/02/2021	1478506
14/02/2021	591389
15/02/2021	1198939
16/02/2021	1626390
17/02/2021	1974513
18/02/2021	1863271
19/02/2021	1971540
20/02/2021	1311441
21/02/2021	601724
22/02/2021	1470034
23/02/2021	1946484
24/02/2021	2535910
25/02/2021	2946420
26/02/2021	3122056
27/02/2021	1996210
28/02/2021	856651
01/03/2021	2097845
02/03/2021	2474543
03/03/2021	2916589
04/03/2021	3210078
05/03/2021	3242013
06/03/2021	2068679
07/03/2021	933604
08/03/2021	2174179
09/03/2021	2724006
10/03/2021	3145737
11/03/2021	3468822
12/03/2021	3453100
13/03/2021	2202082
14/03/2021	985889
15/03/2021	2282423
16/03/2021	2893755
17/03/2021	3176658
18/03/2021	3402214
19/03/2021	3320369
20/03/2021	2165556
21/03/2021	1027911
22/03/2021	2356851
23/03/2021	3059738
24/03/2021	3553935
25/03/2021	3824588
26/03/2021	3813041
27/03/2021	2476025
28/03/2021	1211887
29/03/2021	2834089
30/03/2021	3593032
31/03/2021	4172798
01/04/2021	4581777
02/04/2021	3646531
03/04/2021	2307814
04/04/2021	765287
05/04/2021	3103280
06/04/2021	3975030
07/04/2021	4360623
08/04/2021	4503590
09/04/2021	4316477
10/04/2021	2895008
11/04/2021	1402874
12/04/2021	3026715
13/04/2021	3485403
14/04/2021	3709110
15/04/2021	3760683
16/04/2021	3615657
17/04/2021	2370336
18/04/2021	1136696
19/04/2021	2592258
20/04/2021	3239654
21/04/2021	3492126
22/04/2021	3510256
23/04/2021	3312333
24/04/2021	2216273
25/04/2021	996280
26/04/2021	2401182
27/04/2021	2904468
28/04/2021	3098422
29/04/2021	3063169
30/04/2021	2925570
01/05/2021	1873118
02/05/2021	882586
03/05/2021	1973055
04/05/2021	2511357
05/05/2021	2564140
06/05/2021	2535570
07/05/2021	2523048
08/05/2021	1543482
09/05/2021	617375
10/05/2021	1612418
11/05/2021	2057561
12/05/2021	2027113
13/05/2021	2289866
14/05/2021	2465506
15/05/2021	1857778
16/05/2021	937988
17/05/2021	1832270
18/05/2021	2083612
19/05/2021	2098225
20/05/2021	2029518
21/05/2021	2072633
22/05/2021	1455556
23/05/2021	660614
24/05/2021	1328689
25/05/2021	1446635
26/05/2021	1445477
27/05/2021	1357841
28/05/2021	1342232
29/05/2021	771139
30/05/2021	387215
31/05/2021	204488
01/06/2021	1288397
02/06/2021	1126492
03/06/2021	1257190
04/06/2021	1416527
05/06/2021	1080089
06/06/2021	520836
07/06/2021	1081294
08/06/2021	1183148
09/06/2021	1174452
10/06/2021	1177092
11/06/2021	1240992
12/06/2021	899105
13/06/2021	395762
14/06/2021	920013
15/06/2021	985384
16/06/2021	951145
17/06/2021	899781
18/06/2021	928434
19/06/2021	577590
20/06/2021	278477
21/06/2021	565665
22/06/2021	760157
23/06/2021	740774
24/06/2021	703640
25/06/2021	771393
26/06/2021	501788
27/06/2021	268862
28/06/2021	557687
29/06/2021	630717
30/06/2021	636648
01/07/2021	617692
02/07/2021	623870
03/07/2021	358857
04/07/2021	50996
05/07/2021	399032
06/07/2021	587144
07/07/2021	574028
08/07/2021	567878
09/07/2021	634791
10/07/2021	402404
11/07/2021	217524
12/07/2021	523380
13/07/2021	529772
14/07/2021	535114
15/07/2021	544396
16/07/2021	625471
17/07/2021	401130
18/07/2021	234502
19/07/2021	569321
20/07/2021	604662
21/07/2021	633122
22/07/2021	654048
23/07/2021	747928
24/07/2021	463249
25/07/2021	260361
26/07/2021	646124
27/07/2021	704561
28/07/2021	723953
29/07/2021	724372
30/07/2021	841479
31/07/2021	519728
01/08/2021	339729
02/08/2021	725756
03/08/2021	767950
04/08/2021	783649
05/08/2021	799315
06/08/2021	915972
07/08/2021	563757
08/08/2021	353926
09/08/2021	789529
10/08/2021	806862
11/08/2021	775876
12/08/2021	810936
13/08/2021	955196
14/08/2021	630364
15/08/2021	403240
16/08/2021	876968
17/08/2021	931377
18/08/2021	960825
19/08/2021	952720
20/08/2021	1116439
21/08/2021	673278
22/08/2021	394149
23/08/2021	925964
24/08/2021	956460
25/08/2021	973295
26/08/2021	996468
27/08/2021	1177954
28/08/2021	717058
29/08/2021	433393
30/08/2021	938466
31/08/2021	944510
01/09/2021	953481
02/09/2021	900535
03/09/2021	1045422
04/09/2021	562330
05/09/2021	367693
06/09/2021	178113
07/09/2021	916891
08/09/2021	852196
09/09/2021	855333
10/09/2021	1043214
11/09/2021	604458
12/09/2021	354542
13/09/2021	787033
14/09/2021	756840
15/09/2021	771402
16/09/2021	767955
17/09/2021	908447
18/09/2021	524615
19/09/2021	310811
20/09/2021	704265
21/09/2021	683785
22/09/2021	670908
23/09/2021	681279
24/09/2021	990823
25/09/2021	675553
26/09/2021	411260
27/09/2021	1034299
28/09/2021	1139298
29/09/2021	1147776
30/09/2021	1174083
01/10/2021	1351288
02/10/2021	634305
03/10/2021	368579
04/10/2021	992225
05/10/2021	1024871
06/10/2021	1041465
07/10/2021	1042158
08/10/2021	1169089
09/10/2021	538874
10/10/2021	317141
11/10/2021	859259
12/10/2021	936715
13/10/2021	917446
14/10/2021	920367
15/10/2021	1065262
16/10/2021	495788
17/10/2021	271486
18/10/2021	839395
19/10/2021	831451
20/10/2021	846753
21/10/2021	870069
22/10/2021	1390155
23/10/2021	833391
24/10/2021	475619
25/10/2021	1538172
26/10/2021	1576688
27/10/2021	1635798
28/10/2021	1623756
29/10/2021	1804326
30/10/2021	825374
31/10/2021	441216
01/11/2021	1506291
02/11/2021	1517814
03/11/2021	1586053
04/11/2021	1659723
05/11/2021	1939274
06/11/2021	1051216
07/11/2021	563911
08/11/2021	1483838
09/11/2021	1658855
10/11/2021	1796812
11/11/2021	1618051
12/11/2021	2012809
13/11/2021	1188490
14/11/2021	585003
15/11/2021	1571731
16/11/2021	1702654
17/11/2021	1781891
18/11/2021	1809855
19/11/2021	2101285
